Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C21, C22, C24, C26, C3, C4, C5",0805,9,0.1 uF,C28233
"C10, C11, C6, C7, C8, C9",0805,6,22 uF,C45783
"C20, C23, C25, C27",CP_Elec_8x10.5,4,220 uF,C3340
D12,0805,1,LED,
F1,1206,1,4A Fuse,C41367227
J1,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",1,OUT2,C5183929
J12,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",1,OUT1,C5183929
J2,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",1,OUT3,C5183929
J3,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",1,OUT4,C5183929
J4,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",1,18V,C5183929
J5,PinHeader_1x08_P2.54mm_Vertical,1,MUX,C492407
J6,PinHeader_1x04_P2.54mm_Horizontal,1,Conn_01x04_Pin,
Q2,TO252_AOS,1,AOD4185,
"R1, R2",0805,2,4.7k,C17673
R4,0805,1,330,
R6,0805,1,10k,C17414
"U1, U2, U3, U4",SOP-8_TPK,4,TPM8837C-SO1R,
U5,QFN-28-1EP_6x6mm_P0.65mm_EP4.25x4.25mm,1,MCP23017_ML,C639770
