Designator,Mid X,Mid Y,Rotation,Layer
C1,187.452247,-113.940988,90.0,top
C10,189.95288,-102.878956,0.0,top
C11,209.354026,-106.443331,90.0,top
C12,208.64952,-101.629347,0.0,top
C13,208.471457,-99.487159,180.0,top
C14,197.957979,-104.479659,90.0,top
C15,195.28703,-96.803488,90.0,top
C16,197.423789,-98.410128,90.0,top
C17,195.116714,-92.882081,0.0,top
C18,197.957979,-94.839816,90.0,top
C19,200.814738,-105.556691,0.0,top
C2,187.096121,-103.587081,90.0,top
C3,188.528374,-91.810988,0.0,top
C4,187.096121,-81.808175,90.0,top
C5,214.525607,-109.66255,180.0,top
C6,190.309006,-113.232863,0.0,top
C7,210.964342,-109.841066,180.0,top
C8,216.30624,-111.804738,0.0,top
C9,211.854658,-111.983253,180.0,top
J1,180.1,-107.84,270.0,top
J12,180.1,-119.24,270.0,top
J2,180.1,-96.46,270.0,top
J3,180.1,-85.06,270.0,top
J4,214.26,-119.8,0.0,top
J5,218.1,-90.09,0.0,top
L2,205.814738,-89.553878,270.0,top
Q2,204.196843,-117.15265,180.0,top
R1,214.309797,-97.002003,270.0,top
R2,214.843987,-93.431691,270.0,top
R3,195.79122,-104.856691,90.0,top
R4,195.98703,-87.199581,180.0,top
R5,197.927979,-91.289503,90.0,top
U1,191.188237,-119.022413,0.0,top
U2,190.832111,-107.775928,0.0,top
U3,190.475984,-96.707959,0.0,top
U4,191.188237,-84.568897,0.0,top
U5,214.110785,-104.738878,180.0,top
U6,202.839738,-101.694503,180.0,top
