Comment,Designator,Footprint,LCSC,Quantity
0.47,"R29,R31",R_Axial_DIN0617_L17.0mm_D6.0mm_P25.40mm_Horizontal,C37394501,2
1 nF,"C6,C7",C_0805_2012Metric,C15177,2
10,"R32,R33",R_0805_2012Metric,C17415,2
10 pF,"C3,C4",C_0805_2012Metric,C179756,2
100,"R28,R30",R_0805_2012Metric,C17408,2
100 nF,"C11,C14,C8",C_0805_2012Metric,C28233,3
100 uF,"C2,C5",CP_Radial_D8.0mm_P3.50mm,C88747,2
10k,R36,R_0805_2012Metric,C17414,1
150,"R24,R25,R27",R_0805_2012Metric,C17471,3
1N4007,"D2,D3,D4",D_DO-41_SOD81_P10.16mm_Horizontal,C2457,3
1SMA4749A,D1,C173489_SMA_L4_4-W2_8-LS5_4-RD,C173489,1
1k,R22,R_0805_2012Metric,C17513,1
2.2 uF,C1,C_1206_3216Metric,C170101,1
2.2k,"R34,R35",R_0805_2012Metric,C17520,2
22k,R16,R_0805_2012Metric,C17560,1
3.3k,"R17,R18",R_0805_2012Metric,C26010,2
33,R26,R_0805_2012Metric,C17634,1
33k,R19,R_0805_2012Metric,C17633,1
4.7k,R20,R_0805_2012Metric,C17673,1
6800uF 63V,"C15,C16",C46441_CAP-TH_BD25_0-P10_00-D2_3-FD,C46441,2
68k,R23,R_0805_2012Metric,C17801,1
AUX,"J1,J3",WJ500V-5.08-2P,C8465,2
BD139,"Q15,Q16,Q21",TO-126-3_Vertical,C27866,3
BD140,"Q13,Q14,Q17,Q18",TO-126-3_Vertical,C38652,4
CYA0630-4.7UH,U1,C5189748_IND-SMD_L7_2-W6_6_GPSR07X0,C5189748,1
GBU10M,D5,C970322_GBU_4P-L22_0-W3_5-P5_08,C970322,1
LSG472M1J--A2250,"C10,C12",C316462_CAP-TH_BD22_0-P10_00-D2_3-FD,C316462,2
MJL3281AG,"Q1,Q2",C327498_TO-264-3_L20_0-W5_0-P5_45-L,C327498,2
WJ500V-5.08-3P,P1,C72334_CONN-TH_3P-P5_00_WJ500V-5_08-3P,C72334,1
