Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,2.2 uF,C_1206_3216Metric,188.805,-52.35,0.0,top
C10,LSG472M1J--A2250,C316462_CAP-TH_BD22_0-P10_00-D2_3-FD,168.94,-56.77,90.0,top
C11,100 nF,C_0805_2012Metric,134.46,-93.57,0.0,top
C12,LSG472M1J--A2250,C316462_CAP-TH_BD22_0-P10_00-D2_3-FD,143.1,-57.61,90.0,top
C14,100 nF,C_0805_2012Metric,167.36,-106.97,0.0,top
C15,6800uF 63V,C46441_CAP-TH_BD25_0-P10_00-D2_3-FD,143.02,-81.67,90.0,top
C16,6800uF 63V,C46441_CAP-TH_BD25_0-P10_00-D2_3-FD,168.87,-80.6,90.0,top
C2,100 uF,CP_Radial_D8.0mm_P3.50mm,183.36,-100.06,180.0,top
C3,10 pF,C_0805_2012Metric,214.65,-105.27,180.0,top
C4,10 pF,C_0805_2012Metric,204.6,-105.02,0.0,top
C5,100 uF,CP_Radial_D8.0mm_P3.50mm,195.262651,-98.43,180.0,top
C6,1 nF,C_0805_2012Metric,247.64,-105.15,180.0,top
C7,1 nF,C_0805_2012Metric,235.6,-104.57,-90.0,top
C8,100 nF,C_0805_2012Metric,241.69,-87.22,0.0,top
D1,1SMA4749A,C173489_SMA_L4_4-W2_8-LS5_4-RD,189.339875,-98.717,90.0,top
D2,1N4007,D_DO-41_SOD81_P10.16mm_Horizontal,223.93,-96.28,90.0,top
D3,1N4007,D_DO-41_SOD81_P10.16mm_Horizontal,227.24,-96.3,-90.0,top
D4,1N4007,D_DO-41_SOD81_P10.16mm_Horizontal,227.25,-83.36,-90.0,top
D5,GBU10M,C970322_GBU_4P-L22_0-W3_5-P5_08,153.8,-107.645,180.0,top
J1,AUX,WJ500V-5.08-2P,189.87,-45.82,180.0,top
J3,AUX,WJ500V-5.08-2P,254.04,-80.15,90.0,top
P1,WJ500V-5.08-3P,C72334_CONN-TH_3P-P5_00_WJ500V-5_08-3P,135.62,-102.38,-90.0,top
Q1,MJL3281AG,C327498_TO-264-3_L20_0-W5_0-P5_45-L,217.97,-42.85,0.0,top
Q13,BD140,TO-126-3_Vertical,184.15,-107.89,180.0,top
Q14,BD140,TO-126-3_Vertical,194.54,-107.875,180.0,top
Q15,BD139,TO-126-3_Vertical,215.97,-107.88,180.0,top
Q16,BD139,TO-126-3_Vertical,205.91,-107.87,180.0,top
Q17,BD140,TO-126-3_Vertical,227.24,-107.87,180.0,top
Q18,BD140,TO-126-3_Vertical,248.97,-107.885,180.0,top
Q2,MJL3281AG,C327498_TO-264-3_L20_0-W5_0-P5_45-L,249.67,-42.86,0.0,top
Q21,BD139,TO-126-3_Vertical,237.88,-107.88,180.0,top
R16,22k,R_0805_2012Metric,193.01,-52.35,0.0,top
R17,3.3k,R_0805_2012Metric,213.7,-102.46,90.0,top
R18,3.3k,R_0805_2012Metric,203.65,-102.2075,90.0,top
R19,33k,R_0805_2012Metric,189.34,-104.29,-90.0,top
R20,4.7k,R_0805_2012Metric,146.18,-104.2025,90.0,top
R22,1k,R_0805_2012Metric,192.26,-104.23,-90.0,top
R23,68k,R_0805_2012Metric,192.26,-89.39,-90.0,top
R24,150,R_0805_2012Metric,223.93,-87.9325,-90.0,top
R25,150,R_0805_2012Metric,229.49,-104.5675,90.0,top
R26,33,R_0805_2012Metric,227.24,-104.58,-90.0,top
R27,150,R_0805_2012Metric,218.25,-104.58,90.0,top
R28,100,R_0805_2012Metric,247.68,-103.06,0.0,top
R29,0.47,R_Axial_DIN0617_L17.0mm_D6.0mm_P25.40mm_Horizontal,224.69,-59.64,90.0,top
R30,100,R_0805_2012Metric,240.16,-104.47,-90.0,top
R31,0.47,R_Axial_DIN0617_L17.0mm_D6.0mm_P25.40mm_Horizontal,256.08,-59.7,90.0,top
R32,10,R_0805_2012Metric,241.5525,-77.92,180.0,top
R33,10,R_0805_2012Metric,245.2,-87.2,0.0,top
R34,2.2k,R_0805_2012Metric,142.21,-97.56,0.0,top
R35,2.2k,R_0805_2012Metric,142.178372,-103.158552,0.0,top
R36,10k,R_0805_2012Metric,219.95,-101.39,0.0,top
U1,CYA0630-4.7UH,C5189748_IND-SMD_L7_2-W6_6_GPSR07X0,243.5,-82.69,0.0,top
