Designator,Mid X,Mid Y,Rotation,Layer
C1,69.467,-52.435,0.0,top
C10,69.467,-75.025,0.0,top
C11,69.467,-77.535,0.0,top
C12,69.467,-80.045,0.0,top
C13,73.477,-52.435,0.0,top
C14,73.477,-54.945,0.0,top
C15,58.237,-88.405,0.0,top
C16,73.477,-57.455,0.0,top
C17,73.477,-59.965,0.0,top
C18,73.477,-62.475,0.0,top
C19,73.477,-64.985,0.0,top
C2,69.467,-54.945,0.0,top
C20,73.477,-67.495,0.0,top
C21,73.477,-70.005,0.0,top
C22,73.477,-72.515,0.0,top
C23,73.477,-75.025,0.0,top
C24,73.477,-77.535,0.0,top
C25,73.477,-80.045,0.0,top
C26,48.389082,-58.205,0.0,top
C27,77.487,-52.435,0.0,top
C28,77.487,-54.945,0.0,top
C29,77.487,-57.455,0.0,top
C3,69.467,-57.455,0.0,top
C30,77.487,-59.965,0.0,top
C31,77.487,-62.475,0.0,top
C32,77.487,-64.985,0.0,top
C33,77.487,-67.495,0.0,top
C34,77.487,-70.005,0.0,top
C35,77.487,-72.515,0.0,top
C36,77.487,-75.025,0.0,top
C37,77.487,-77.535,0.0,top
C38,77.487,-80.045,0.0,top
C39,81.497,-52.435,0.0,top
C4,69.467,-59.965,0.0,top
C40,81.497,-54.945,0.0,top
C41,81.497,-57.455,0.0,top
C42,58.237,-91.755,0.0,top
C43,81.497,-59.965,0.0,top
C44,48.389082,-72.255,0.0,top
C45,48.389082,-86.305,0.0,top
C46,81.497,-62.475,0.0,top
C5,69.467,-62.475,0.0,top
C6,69.467,-64.985,0.0,top
C7,69.467,-67.495,0.0,top
C8,69.467,-70.005,0.0,top
C9,69.467,-72.515,0.0,top
D1,63.107,-88.025,0.0,top
IC1,81.212,-87.625,0.0,top
J2,61.437,-56.605,0.0,top
J3,61.437,-68.455,0.0,top
J4,147.4,-90.75,90.0,top
J5,61.437,-80.305,0.0,top
L4,81.497,-64.985,0.0,top
L5,81.497,-67.495,0.0,top
L6,81.497,-70.005,0.0,top
L7,81.497,-72.515,0.0,top
L8,81.497,-75.025,0.0,top
R1,81.497,-77.535,0.0,top
R10,85.507,-67.495,0.0,top
R11,85.507,-70.005,0.0,top
R12,85.507,-72.515,0.0,top
R13,85.507,-75.025,0.0,top
R14,85.507,-77.535,0.0,top
R15,85.507,-80.045,0.0,top
R16,89.517,-52.435,0.0,top
R17,89.517,-54.945,0.0,top
R2,81.497,-80.045,0.0,top
R21,89.517,-57.455,0.0,top
R22,89.517,-59.965,0.0,top
R23,89.517,-62.475,0.0,top
R24,89.517,-64.985,0.0,top
R25,89.517,-67.495,0.0,top
R26,89.517,-70.005,0.0,top
R27,89.517,-72.515,0.0,top
R3,85.507,-52.435,0.0,top
R4,85.507,-54.945,0.0,top
R5,85.507,-57.455,0.0,top
R6,85.507,-59.965,0.0,top
R7,85.507,-62.475,0.0,top
R8,85.507,-64.985,0.0,top
U1,71.687,-84.66,270.0,top
U2,71.687,-91.245,270.0,top
U3,46.787,-97.255,0.0,top
