Comment,Designator,Footprint,LCSC,Quantity
1 nF,"C20,C21,C26,C27",C_0603_1608Metric,C163508,4
1 uF,"C1,C12,C2,C3,C4,C5,C6,C7,C9",C_0603_1608Metric,C29936,9
10 nF,"C22,C23,C28,C29",C_0603_1608Metric,C100042,4
10 uH,"L1,L2,L3,L4",L_6.3x6.3_H3,C2041827,4
100 nF,"C11,C14,C15,C16,C17,C8",C_0603_1608Metric,C5137636,6
100k,"R1,R4,R5",R_0603_1608Metric,C2907088,3
10k,"R12,R6",R_0603_1608Metric,C25804,2
1k,R11,R_0603_1608Metric,C2907002,1
20k,R3,R_0603_1608Metric,C2907011,1
220 uF,"C10,C13",CP_Elec_10x10,C88845,2
3.3,"R10,R7,R8,R9",R_0603_1608Metric,C22979,4
47 nF,C30,C_0603_1608Metric,C1622,1
680 nF,"C18,C19,C24,C25",C_0603_1608Metric,C49296956,4
AMS1117-3.3,U1,SOT-223-3_TabPin2,C6186,1
LTC4359-DCB,U2,DFN-6-1EP_3x2mm_P0.5mm_EP1.65x1.35mm,C580867,1
Lin,J2,WJ500V-5.08-2P,C8465,1
Lout,J4,WJ500V-5.08-2P,C8465,1
PWR,J7,WJ500V-5.08-2P,C8465,1
Rin,J1,WJ500V-5.08-2P,C8465,1
Rout,J3,WJ500V-5.08-2P,C8465,1
SMAJ24A,D2,D_SMA,C10769,1
SMAT70A-13-F,D1,DIOM5226X230N,C135026,1
TPA3116D2DADR,IC1,SOP65P810X120-33N,C50144,1
AO3400A,Q2,SOT-23,,1
