Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1 uF,C_0603_1608Metric,142.805,-103.05,0.0,top
C10,220 uF,CP_Elec_10x10,174.4,-105.29,0.0,top
C11,100 nF,C_0603_1608Metric,181.45,-109.14,0.0,top
C12,1 uF,C_0603_1608Metric,181.455,-107.6,0.0,top
C13,220 uF,CP_Elec_10x10,174.82,-127.8,0.0,top
C14,100 nF,C_0603_1608Metric,183.96,-107.265,-90.0,top
C15,100 nF,C_0603_1608Metric,181.36,-115.84,180.0,top
C16,100 nF,C_0603_1608Metric,182.09,-117.4,180.0,top
C17,100 nF,C_0603_1608Metric,180.65,-121.68,90.0,top
C18,680 nF,C_0603_1608Metric,193.12,-111.115,90.0,top
C19,680 nF,C_0603_1608Metric,193.12,-104.13,-90.0,top
C2,1 uF,C_0603_1608Metric,142.795,-108.08,0.0,top
C20,1 nF,C_0603_1608Metric,194.71,-111.11,-90.0,top
C21,1 nF,C_0603_1608Metric,194.78,-104.13,90.0,top
C22,10 nF,C_0603_1608Metric,197.93,-104.13,90.0,top
C23,10 nF,C_0603_1608Metric,197.84,-111.105,90.0,top
C24,680 nF,C_0603_1608Metric,193.11,-117.18,-90.0,top
C25,680 nF,C_0603_1608Metric,193.17,-124.85,90.0,top
C26,1 nF,C_0603_1608Metric,194.71,-117.175,90.0,top
C27,1 nF,C_0603_1608Metric,194.77,-124.86,-90.0,top
C28,10 nF,C_0603_1608Metric,197.86,-117.16,90.0,top
C29,10 nF,C_0603_1608Metric,197.96,-124.85,90.0,top
C3,1 uF,C_0603_1608Metric,142.8,-125.14,0.0,top
C30,47 nF,C_0603_1608Metric,144.205,-122.92,0.0,top
C4,1 uF,C_0603_1608Metric,142.8,-130.22,0.0,top
C5,1 uF,C_0603_1608Metric,168.615,-115.33,0.0,top
C6,1 uF,C_0603_1608Metric,154.855,-110.95,0.0,top
C7,1 uF,C_0603_1608Metric,164.45,-106.605,-90.0,top
C8,100 nF,C_0603_1608Metric,181.83,-123.97,180.0,top
C9,1 uF,C_0603_1608Metric,181.83,-125.51,180.0,top
D1,SMAT70A-13-F,DIOM5226X230N,154.67,-119.03,0.0,top
D2,SMAJ24A,D_SMA,154.1,-122.79,0.0,top
IC1,TPA3116D2DADR,SOP65P810X120-33N,175.025,-116.605,0.0,top
J1,Rin,WJ500V-5.08-2P,135.94,-105.54,-90.0,top
J2,Lin,WJ500V-5.08-2P,135.93,-127.68,-90.0,top
J3,Rout,WJ500V-5.08-2P,214.1,-105.55,90.0,top
J4,Lout,WJ500V-5.08-2P,214.1,-127.69,90.0,top
J7,PWR,WJ500V-5.08-2P,135.94,-116.61,-90.0,top
JP1,mode_sel,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,165.36,-109.43,0.0,top
JP2,mute,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,166.42,-122.75,90.0,top
L1,10 uH,L_6.3x6.3_H3,188.54,-107.08,0.0,top
L2,10 uH,L_6.3x6.3_H3,188.54,-113.96,0.0,top
L3,10 uH,L_6.3x6.3_H3,188.54,-120.85,0.0,top
L4,10 uH,L_6.3x6.3_H3,188.56,-127.73,0.0,top
Q2,AO3400A,SOT-23,148.885,-117.815,270.0,top
R1,100k,R_0603_1608Metric,169.36,-120.86,90.0,top
R10,3.3,R_0603_1608Metric,196.38,-124.855,-90.0,top
R11,1k,R_0603_1608Metric,145.13,-125.415,90.0,top
R12,10k,R_0603_1608Metric,168.49,-123.92,-90.0,top
R3,20k,R_0603_1608Metric,165.385,-117.23,0.0,top
R4,100k,R_0603_1608Metric,165.38,-115.62,180.0,top
R5,100k,R_0603_1608Metric,168.5,-112.38,180.0,top
R6,10k,R_0603_1608Metric,168.15,-108.58,90.0,top
R7,3.3,R_0603_1608Metric,196.33,-104.125,90.0,top
R8,3.3,R_0603_1608Metric,196.28,-111.11,-90.0,top
R9,3.3,R_0603_1608Metric,196.28,-117.17,90.0,top
U1,AMS1117-3.3,SOT-223-3_TabPin2,158.43,-106.56,180.0,top
U2,LTC4359-DCB,DFN-6-1EP_3x2mm_P0.5mm_EP1.65x1.35mm,147.94,-122.35,270.0,top
