pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
142.805,-103.05,0.0,top,C1,,,C_0603_1608Metric,1 uF,smt
174.4,-105.29,180.0,top,C10,,,CP_Elec_10x10,220 uF,smt
181.45,-109.14,0.0,top,C11,,,C_0603_1608Metric,100 nF,smt
181.455,-107.6,0.0,top,C12,,,C_0603_1608Metric,1 uF,smt
174.82,-127.8,180.0,top,C13,,,CP_Elec_10x10,220 uF,smt
183.96,-107.265,-90.0,top,C14,,,C_0603_1608Metric,100 nF,smt
181.36,-115.84,180.0,top,C15,,,C_0603_1608Metric,100 nF,smt
182.09,-117.4,180.0,top,C16,,,C_0603_1608Metric,100 nF,smt
180.65,-121.68,90.0,top,C17,,,C_0603_1608Metric,100 nF,smt
193.12,-111.115,90.0,top,C18,,,C_0603_1608Metric,680 nF,smt
193.12,-104.13,-90.0,top,C19,,,C_0603_1608Metric,680 nF,smt
142.795,-108.08,0.0,top,C2,,,C_0603_1608Metric,1 uF,smt
194.71,-111.11,-90.0,top,C20,,,C_0603_1608Metric,1 nF,smt
194.78,-104.13,90.0,top,C21,,,C_0603_1608Metric,1 nF,smt
197.93,-104.13,90.0,top,C22,,,C_0603_1608Metric,10 nF,smt
197.84,-111.105,90.0,top,C23,,,C_0603_1608Metric,10 nF,smt
193.11,-117.18,-90.0,top,C24,,,C_0603_1608Metric,680 nF,smt
193.17,-124.85,90.0,top,C25,,,C_0603_1608Metric,680 nF,smt
194.71,-117.175,90.0,top,C26,,,C_0603_1608Metric,1 nF,smt
194.77,-124.86,-90.0,top,C27,,,C_0603_1608Metric,1 nF,smt
197.86,-117.16,90.0,top,C28,,,C_0603_1608Metric,10 nF,smt
197.96,-124.85,90.0,top,C29,,,C_0603_1608Metric,10 nF,smt
142.8,-125.14,0.0,top,C3,,,C_0603_1608Metric,1 uF,smt
144.205,-122.92,0.0,top,C30,,,C_0603_1608Metric,47 nF,smt
142.8,-130.22,0.0,top,C4,,,C_0603_1608Metric,1 uF,smt
168.615,-115.33,0.0,top,C5,,,C_0603_1608Metric,1 uF,smt
154.855,-110.95,0.0,top,C6,,,C_0603_1608Metric,1 uF,smt
164.45,-106.605,-90.0,top,C7,,,C_0603_1608Metric,1 uF,smt
181.83,-123.97,180.0,top,C8,,,C_0603_1608Metric,100 nF,smt
181.83,-125.51,180.0,top,C9,,,C_0603_1608Metric,1 uF,smt
154.67,-119.03,0.0,top,D1,SMAT70A-13-F,,DIOM5226X230N,SMAT70A-13-F,smt
154.1,-122.79,0.0,top,D2,,,D_SMA,SMAJ24A,smt
175.025,-116.605,0.0,top,IC1,TPA3116D2DADR,,SOP65P810X120-33N,TPA3116D2DADR,smt
135.44,-105.54,-90.0,top,J1,,,WJ500V-5.08-2P,Rin,tht
135.43,-127.68,-90.0,top,J2,,,WJ500V-5.08-2P,Lin,tht
214.6,-105.55,90.0,top,J3,,,WJ500V-5.08-2P,Rout,tht
214.6,-127.69,90.0,top,J4,,,WJ500V-5.08-2P,Lout,tht
135.44,-116.61,-90.0,top,J7,,,WJ500V-5.08-2P,PWR,tht
165.36,-109.43,0.0,top,JP1,,,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,mode_sel,tht
166.42,-122.75,90.0,top,JP2,,,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,mute,tht
188.54,-107.08,0.0,top,L1,,,L_6.3x6.3_H3,10 uH,smt
188.54,-113.96,0.0,top,L2,,,L_6.3x6.3_H3,10 uH,smt
188.54,-120.85,0.0,top,L3,,,L_6.3x6.3_H3,10 uH,smt
188.56,-127.73,0.0,top,L4,,,L_6.3x6.3_H3,10 uH,smt
148.885,-117.815,0.0,top,Q2,,,SOT-23,AO3400A,smt
169.36,-120.86,90.0,top,R1,,,R_0603_1608Metric,100k,smt
196.38,-124.855,-90.0,top,R10,,,R_0603_1608Metric,3.3,smt
145.13,-125.415,90.0,top,R11,,,R_0603_1608Metric,1k,smt
168.49,-123.92,-90.0,top,R12,,,R_0603_1608Metric,10k,smt
165.385,-117.23,0.0,top,R3,,,R_0603_1608Metric,20k,smt
165.38,-115.62,180.0,top,R4,,,R_0603_1608Metric,100k,smt
168.5,-112.38,180.0,top,R5,,,R_0603_1608Metric,100k,smt
168.15,-108.58,90.0,top,R6,,,R_0603_1608Metric,10k,smt
196.33,-104.125,90.0,top,R7,,,R_0603_1608Metric,3.3,smt
196.28,-111.11,-90.0,top,R8,,,R_0603_1608Metric,3.3,smt
196.28,-117.17,90.0,top,R9,,,R_0603_1608Metric,3.3,smt
158.43,-106.56,0.0,top,U1,,,SOT-223-3_TabPin2,AMS1117-3.3,smt
147.94,-122.35,0.0,top,U2,,,DFN-6-1EP_3x2mm_P0.5mm_EP1.65x1.35mm,LTC4359-DCB,smt
