Comment,Designator,Footprint,LCSC,Quantity
1 uF,C16,C_0603_1608Metric,C15849,1
1 uF,"C25,C51,C60,C61,C63,C64,C65,C67,C68,C69,C70,C71,C72,C73,C74,C75,C76",C_0805_2012Metric,C28323,17
10 kΩ,"R15,R18,R24,R25,R27,R28",R_0805_2012Metric,C17414,6
10 uF,"C31,C33,C34,C35,C36,C41,C47,C49,C52,C53,C55,C57,C58,C62,C66,C77,C78",C_0805_2012Metric,C440198,17
100 nF,"C1,C14,C2,C42,C43,C44,C45,C46,C48,C50,C56,C79,C80",C_0805_2012Metric,C49678,13
100 Ω,R21,R_0805_2012Metric,C17408,1
10k,"R26,R29",R_0805_2012Metric,C17414,2
10k Ohm,"R16,R17,R30,R6",R_0805_2012Metric,C17414,4
12 MHz,Y3,Crystal_SMD_3225-4Pin_3.2x2.5mm,C9002,1
12 pF,"C12,C13,C15,C3,C54,C59",C_0805_2012Metric,C1792,6
12V Screw,J5,WJ500V-5.08-2P,C8465,1
150 pF,"C4,C8",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C1594,2
2.2 kΩ,"R22,R23",R_0805_2012Metric,C17520,2
22,"R3,R4",R_0805_2012Metric,C17561,2
3.3 nF,"C11,C39,C7",C_0805_2012Metric,C1738,3
4.75 kΩ,"R11,R12,R7,R8",R_0805_2012Metric,C2933451,4
47 uF,"C10,C6",CP_Elec_6.3x5.4,C72522,2
470 pF,"C5,C9",C_0805_2012Metric,C1743,2
475 Ω,R20,R_0805_2012Metric,C204528,1
49.9 kΩ,"R10,R14",R_0805_2012Metric,C17719,2
5.1k,"R1,R2",R_0805_2012Metric,C27834,2
56 nF,C38,C_0805_2012Metric,C107156,1
5V Screw,J2,WJ500V-5.08-2P,C8465,1
604 Ω,"R13,R9",R_0805_2012Metric,C228933,2
91 kΩ,R19,R_0805_2012Metric,C2933509,1
AD8606ARM,U3,MSOP-8_3x3mm_P0.65mm,C459905,1
ADAU1701,U7,LQFP-48_7x7mm_P0.5mm,C389590,1
AMS1117-1.8,U4,SOT-223-3_TabPin2,C46473009,1
AZ1117-3.3,U8,TO-252-2,C362112,1
CH340G,U6,SOIC-16_3.9x9.9mm_P1.27mm,C14267,1
Crystal_GND24,"Y1,Y2",Crystal_SMD_3225-4Pin_3.2x2.5mm,C9002,2
ESP32-WROOM-32E-R2,U5,ESP32-WROOM-32D,C701343,1
GND,"J10,J3,J4",PinHeader_1x01_P2.54mm_Vertical,C492400,3
NPN,SS8050,SOT-23,C2150,1
PAM8620TR,IC1,PAM8620TR,C705094,1
PCM1862DBT,U2,TSSOP-30_4.4x7.8mm_P0.5mm,C544647,1
SS8050,Q1,SOT-23,C2150,1
Tweeter,J8,WJ500V-5.08-2P,C8465,1
USB_C_Receptacle_USB2.0,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948,1
Woofer,J7,WJ500V-5.08-2P,C8465,1
KH-6X6X5H-STM,SW3,KH-6X6X5H-STM_SKE,,1
IN_SW,TP9,TestPoint_Pad_2.0x2.0mm,,1
TestPoint,TP2,TestPoint_Pad_2.0x2.0mm,,1
TestPoint,TP3,TestPoint_Pad_2.0x2.0mm,,1
TestPoint,TP5,TestPoint_Pad_2.0x2.0mm,,1
TestPoint,TP4,TestPoint_Pad_2.0x2.0mm,,1
IN_SW,TP8,TestPoint_Pad_2.0x2.0mm,,1
TestPoint,TP1,TestPoint_Pad_2.0x2.0mm,,1
IN_SW,TP6,TestPoint_Pad_2.0x2.0mm,,1
KH-6X6X5H-STM,SW2,KH-6X6X5H-STM_SKE,,1
IN_SW,TP7,TestPoint_Pad_2.0x2.0mm,,1
BOOT,SW1,KH-6X6X5H-STM_SKE,,1
