Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100 nF,C_0805_2012Metric,90.5,-96.25,90.0,top
C10,47 uF,CP_Elec_6.3x5.4,116.5,-67.0,90.0,top
C11,3.3 nF,C_0805_2012Metric,112.0,-60.0,180.0,top
C12,12 pF,C_0805_2012Metric,122.25,-93.25,180.0,top
C13,12 pF,C_0805_2012Metric,125.75,-89.5,90.0,top
C14,100 nF,C_0805_2012Metric,115.75,-93.75,90.0,top
C15,12 pF,C_0805_2012Metric,78.25,-45.0,-90.0,top
C16,1 uF,C_0603_1608Metric,82.955,-56.755,0.0,top
C2,100 nF,C_0805_2012Metric,92.5,-96.25,90.0,top
C25,1 uF,C_0805_2012Metric,108.5,-43.25,90.0,top
C3,12 pF,C_0805_2012Metric,80.5,-93.75,90.0,top
C31,10 uF,C_0805_2012Metric,79.0,-42.25,180.0,top
C33,10 uF,C_0805_2012Metric,83.75,-42.25,0.0,top
C34,10 uF,C_0805_2012Metric,107.25,-97.75,180.0,top
C35,10 uF,C_0805_2012Metric,100.5,-88.5,180.0,top
C36,10 uF,C_0805_2012Metric,105.75,-42.0,180.0,top
C38,56 nF,C_0805_2012Metric,122.0,-85.25,0.0,top
C39,3.3 nF,C_0805_2012Metric,122.0,-87.25,0.0,top
C4,150 pF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,104.5,-72.75,180.0,top
C41,10 uF,C_0805_2012Metric,104.5,-83.25,-90.0,top
C42,100 nF,C_0805_2012Metric,106.5,-83.25,90.0,top
C43,100 nF,C_0805_2012Metric,118.5,-85.25,180.0,top
C44,100 nF,C_0805_2012Metric,118.5,-87.5,0.0,top
C45,100 nF,C_0805_2012Metric,110.75,-95.75,90.0,top
C46,100 nF,C_0805_2012Metric,106.75,-94.75,-90.0,top
C47,10 uF,C_0805_2012Metric,113.0,-79.74,0.0,top
C48,100 nF,C_0805_2012Metric,113.0,-81.75,0.0,top
C49,10 uF,C_0805_2012Metric,116.5,-80.5,0.0,top
C5,470 pF,C_0805_2012Metric,108.0,-72.0,90.0,top
C50,100 nF,C_0805_2012Metric,116.5,-82.5,0.0,top
C51,1 uF,C_0805_2012Metric,86.25,-83.25,0.0,top
C52,10 uF,C_0805_2012Metric,94.5,-96.25,-90.0,top
