Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C42, C43, C44, C45, C46, C48, C50, C56",0805,10,100 nF,C49678
"C10, C6",CP_Elec_6.3x5.4,2,47 uF,C72522
"C11, C39, C7",0805,3,3.3 nF,C7467177
"C12, C13, C29, C30, C31, C33, C34, C35, C41, C47, C49, C52, C53, C55, C57, C58, C59",0805,17,10 uF,C440198
"C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C32, C51",0805,17,1 uF,C28323
"C3, C37, C40, C54",0805,4,22 pF,C1804
C38,0805,1,56 nF,C107156
"C4, C8",0603,2,150 pF,C107038
"C5, C9",0805,2,470 pF,C62771
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0,C165948
"J10, J3, J4",PinHeader_1x01_P2.54mm_Vertical,3,GND,C492400
J2,WJ500V-5.08-2P,1,5V Screw,C8465
J5,WJ500V-5.08-2P,1,12V Screw,C8465
J6,PinHeader_1x06_P2.54mm_Vertical,1,Conn_01x06_Pin,
J7,WJ500V-5.08-2P,1,Woofer,C8465
J8,WJ500V-5.08-2P,1,Tweeter,C8465
"R1, R2",0805,2,5.1k,C27834
"R10, R14",0805,2,49.9 kΩ,C469661
"R11, R12, R7, R8",0805,4,4.75 kΩ,C2933451
"R13, R9",0805,2,604 Ω,C228933
"R15, R16, R24, R25, R27",0805,5,10 kΩ,C84376
R17,0805,1,91 kΩ,C2933509
R20,0805,1,475 Ω,C204528
R21,0805,1,100 Ω,C17408
"R22, R23",0805,2,2.2 kΩ,C17520
"R26, R5, R6",0805,3,10k,C17414
"R3, R4",0805,2,22,C17561
RV1,Potentiometer_ACP_CA6-VSMD_Vertical,1,Volume,
S1,SSSS811101,1,SSSS811101,C109335
SW1,KH-6X6X5H-STM_SKE,1,BOOT,C2837531 
SW2,KH-6X6X5H-STM_SKE,1,EN,C2837531 
"TP1, TP2, TP3, TP4, TP5",TestPoint_Pad_2.0x2.0mm,5,TestPoint,
"TP6, TP7",TestPoint_Pad_2.0x2.0mm,2,IN_SW,
U1,ESP32-S2-MINI-1,1,ESP32-S3-MINI-1,C2913206 
U2,TSSOP-30_4.4x7.8mm_P0.5mm,1,PCM1862DBT,
"U3, U4",MSOP-8_3x3mm_P0.65mm,2,AD8606ARM,
U5,QFN5X5-32L_DIO,1,PAM8006ATR,
U7,LQFP-48_7x7mm_P0.5mm,1,ADAU1701,
U8,TO-252-2,1,AZ1117-3.3,
U9,SOT-223-3_TabPin2,1,NCP1117-1.8_SOT223,
"Y1, Y2",ABM3B,2,ABM3B-12.288MHZ-B2-T,
