Designator,Mid X,Mid Y,Rotation,Layer
C1,121.5,-64.75,90.0,top
C10,82.25,-68.25,90.0,top
C11,87.5,-75.25,0.0,top
C12,70.75,-42.5,0.0,top
C13,69.5,-49.0,90.0,top
C14,73.5,-41.8,270.0,top
C2,114.5,-54.0,270.0,top
C25,90.75,-91.6625,270.0,top
C3,118.75,-62.0,180.0,top
C31,134.75,-48.0,180.0,top
C33,139.5,-48.0,0.0,top
C34,81.75,-27.5,270.0,top
C35,92.0,-34.5,180.0,top
C36,93.25,-95.25,270.0,top
C38,70.75,-52.9625,270.0,top
C39,72.75,-52.9625,270.0,top
C4,89.5,-62.75,180.0,top
C41,90.25,-53.75,90.0,top
C42,92.5,-53.625,270.0,top
C43,75.75,-52.4125,0.0,top
C44,72.75,-48.9125,180.0,top
C45,81.25,-40.9125,90.0,top
C46,84.75,-40.9125,90.0,top
C47,83.5875,-57.1625,270.0,top
C48,80.5875,-57.0,270.0,top
C49,77.5875,-57.1625,270.0,top
C5,95.5,-61.25,270.0,top
C50,74.5,-57.1625,270.0,top
C51,115.25,-63.0,90.0,top
C52,117.5,-64.75,270.0,top
C53,111.75,-55.0,180.0,top
C54,120.25,-58.75,180.0,top
C55,116.5,-54.2,90.0,top
C56,119.5,-54.2,270.0,top
C57,110.75,-66.5,270.0,top
C58,114.0,-66.5,270.0,top
C6,98.0,-67.0,90.0,top
C60,96.25,-95.25,270.0,top
C61,87.5,-94.25,270.0,top
C62,83.25,-91.5,90.0,top
C63,81.25,-91.5,90.0,top
C64,85.0,-85.5,0.0,top
C65,85.0,-88.25,0.0,top
C66,83.25,-82.5,90.0,top
C67,81.25,-82.5,90.0,top
C68,90.5,-80.75,270.0,top
C69,86.25,-82.0,0.0,top
C7,93.0,-71.75,180.0,top
C70,97.25,-79.0,180.0,top
C71,93.5,-79.5,270.0,top
C72,87.75,-78.75,0.0,top
C73,96.5,-85.25,0.0,top
C74,96.5,-88.0,0.0,top
C75,99.5,-82.0,90.0,top
C76,100.0,-91.25,90.0,top
C77,96.5,-82.0,90.0,top
C78,97.0,-91.25,90.0,top
C8,89.5,-59.75,0.0,top
C9,83.5,-61.4125,270.0,top
IC1,90.75,-86.5,270.0,top
J1,68.0,-30.5,270.0,top
J10,130.0,-45.75,0.0,top
J2,138.0,-55.5,0.0,top
J3,123.25,-86.25,0.0,top
J4,127.75,-71.25,0.0,top
J5,127.25,-78.75,90.0,top
J6,111.69,-50.5,90.0,top
J7,108.25,-85.0,0.0,top
J8,72.5,-85.0,0.0,top
R1,75.25,-26.25,180.0,top
R10,93.0,-74.75,180.0,top
R11,86.75,-57.9125,270.0,top
R12,86.75,-61.4125,270.0,top
R13,83.0,-74.25,0.0,top
R14,87.55,-72.25,0.0,top
R15,102.75,-46.5,90.0,top
R18,93.75,-91.5,270.0,top
R19,87.25,-91.5,0.0,top
R2,75.25,-33.25,270.0,top
R20,70.25,-56.7625,0.0,top
R21,73.75,-45.4125,270.0,top
R22,76.25,-41.4125,0.0,top
R23,76.25,-38.4125,0.0,top
R24,76.75,-54.4125,0.0,top
R25,98.5,-52.5,0.0,top
R26,107.5,-46.0,0.0,top
R27,88.75,-48.25,0.0,top
R28,101.25,-79.0,180.0,top
R3,78.25,-28.5,0.0,top
R4,78.25,-30.75,0.0,top
R5,129.5,-33.75,180.0,top
R6,129.5,-37.75,0.0,top
R7,92.25,-57.75,270.0,top
R8,92.25,-61.25,270.0,top
R9,96.75,-73.5,180.0,top
RV1,94.0,-39.75,180.0,top
S1,105.0,-39.5,270.0,top
SW1,96.250001,-48.1625,180.0,top
SW2,138.3309,-34.95685,180.0,top
U1,119.25,-36.95,0.0,top
U2,109.75,-60.25,90.0,top
U3,90.0,-67.0,90.0,top
U4,86.5,-30.85,90.0,top
U7,81.25,-47.9125,90.0,top
U8,138.79,-43.47,0.0,top
Y2,70.5,-45.5,0.0,top
Y3,116.75,-58.75,270.0,top
