Comment,Designator,Footprint,LCSC,Quantity
1 uF,"C2,C7",C_0805_2012Metric,C28323,2
10 uF,"C5,C6",C_0805_2012Metric,C15850,2
100nF,"C8,C9",C_0603_1608Metric,C14663,2
1k,R2,R_0603_1608Metric,C21190,1
20 MHz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C9006,1
30 pF,C1,C_0603_1608Metric,C1658,1
4.7M,R1,R_0603_1608Metric,C23163,1
5.1k,R3,R_0603_1608Metric,C23186,1
AF 90° WJDG,"USB1,USB2",C456018_USB-A-TH_AF-WJDG,C456018,2
CH318T_C42387966,U1,C42387966_TSSOP-20_L6_5-W4_4-P0_65-LS6_4-BL,C42387966,1
G2415S,U3,C3003219_SMD-24_L15_1-W7_1-P1_00-LS10_0-BL,C3003219,1
LED,D1,LED_0805_2012Metric,C2297,1
NCP1117-3.3_SOT223,U2,SOT-223-3_TabPin2,C26537,1
RJ-064-1,U4,C7205199_CONN-SMD_RJ-064,C7205199,1
SSSS811101,S1,SSSS811101,C109335,1
