Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,30 pF,C_0603_1608Metric,241.88,-126.88,90.0,top
C2,1 uF,C_0805_2012Metric,243.82,-126.59,90.0,top
C5,10 uF,C_0805_2012Metric,248.453231,-117.179425,90.0,top
C6,10 uF,C_0805_2012Metric,239.687919,-113.120988,90.0,top
C7,1 uF,C_0805_2012Metric,242.818388,-113.120988,90.0,top
C8,100nF,C_0603_1608Metric,236.620497,-113.340988,90.0,top
C9,100nF,C_0603_1608Metric,245.385809,-117.399425,-90.0,top
D1,LED,LED_0805_2012Metric,202.98,-137.85,-90.0,top
R1,4.7M,R_0603_1608Metric,235.98,-128.71,90.0,top
R2,1k,R_0603_1608Metric,202.96,-134.255,90.0,top
R3,5.1k,R_0603_1608Metric,208.715,-132.88,180.0,top
S1,SSSS811101,SSSS811101,210.16,-137.5,0.0,top
U1,CH318T_C42387966,C42387966_TSSOP-20_L6_5-W4_4-P0_65-LS6_4-BL,240.01,-120.08,0.0,top
U2,NCP1117-3.3_SOT223,SOT-223-3_TabPin2,250.760184,-124.469425,90.0,top
U3,G2415S,C3003219_SMD-24_L15_1-W7_1-P1_00-LS10_0-BL,226.699683,-119.271307,90.0,top
U4,RJ-064-1,C7205199_CONN-SMD_RJ-064,210.5625,-120.15,-90.0,top
USB1,AF 90° WJDG,C456018_USB-A-TH_AF-WJDG,268.7,-108.76,90.0,top
USB2,AF 90° WJDG,C456018_USB-A-TH_AF-WJDG,268.68,-131.58,90.0,top
Y1,20 MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,238.929637,-127.119426,180.0,top
