Comment,Designator,Footprint,LCSC,Quantity
1 uF,"C21,C31,C32",C_0603_1608Metric,C15849,3
10 uF,"C10,C11,C12,C13,C14,C15,C17,C18,C9",C_0603_1608Metric,C96446,9
100 Ohm,"R11,R5",R_0603_1608Metric,C22775,2
100 nF,"C1,C16,C19,C2,C20,C3,C4,C5,C6,C7,C8",C_0603_1608Metric,C14663,11
100nF,"C25,C26",C_0603_1608Metric,C14663,2
10uF,C23,C_0603_1608Metric,C96446,1
120Ohm 2A,"FB1,FB2,FB3,FB4",R_0805_2012Metric,C356986,4
22,"R1,R2",R_0603_1608Metric,C23345,2
220pF,"C27,C28,C29,C30",C_0603_1608Metric,C1603,4
47uF,C24,C_1206_3216Metric,C96123,1
5.1k,"R3,R4",R_0603_1608Metric,C23186,2
600Ohm 2A,FB7,C_0603_1608Metric,C142024,1
680 uF,C22,CP_Elec_8x10.5,C970708,1
ANT,J6,SMA_BAT_Wireless_BWSMA-KWE-Z001,C496551,1
KH-6X6X5H-STM,SW1,KH-6X6X5H-STM_SKE,C2837531,1
L_OUT,J5,WJ500V-5.08-2P,C8465,1
PAM8406D,U6,SOIC-16_3.9x9.9mm_P1.27mm,C86270,1
R_OUT,J7,WJ500V-5.08-2P,C8465,1
USB_C_Receptacle_USB2.0_16P,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948,1
IM69D130,MK2,Infineon_PG-LLGA-5-1,,1
DA14AVDDECT_SF01,IC1,DA14AVDDECTSF01,,1
UART,J4,PinHeader_1x02_P2.54mm_Vertical,,1
JTAG,J2,PinHeader_1x05_P2.54mm_Vertical,,1
NCP1117-3.3_SOT223,U1,SOT-223-3_TabPin2,,1
I2C,J3,PinHeader_1x02_P2.54mm_Vertical,,1
