Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100 nF,C_0603_1608Metric,186.67495,-114.434115,180.0,top
C10,10 uF,C_0603_1608Metric,165.696825,-132.815647,0.0,top
C11,10 uF,C_0603_1608Metric,186.67495,-99.258665,0.0,top
C12,10 uF,C_0603_1608Metric,192.240575,-103.747178,180.0,top
C13,10 uF,C_0603_1608Metric,186.67495,-117.853935,180.0,top
C14,10 uF,C_0603_1608Metric,181.109325,-133.884341,180.0,top
C15,10 uF,C_0603_1608Metric,183.784325,-128.21835,-90.0,top
C16,100 nF,C_0603_1608Metric,182.071825,-128.21835,90.0,top
C17,10 uF,C_0603_1608Metric,171.476513,-127.472178,0.0,top
C18,10 uF,C_0603_1608Metric,163.984325,-118.922629,0.0,top
C19,100 nF,C_0603_1608Metric,177.898388,-132.815647,180.0,top
C2,100 nF,C_0603_1608Metric,177.2562,-142.006413,0.0,top
C20,100 nF,C_0603_1608Metric,177.898388,-134.525557,0.0,top
C21,1 uF,C_0603_1608Metric,189.34995,-116.676458,-90.0,top
C22,680 uF,CP_Elec_8x10.5,203.75,-124.85,180.0,top
C23,10uF,C_0603_1608Metric,187.103075,-112.724205,180.0,top
C24,47uF,C_1206_3216Metric,187.415263,-107.734386,90.0,top
C25,100nF,C_0603_1608Metric,187.103075,-104.388395,180.0,top
C26,100nF,C_0603_1608Metric,187.103075,-111.014295,180.0,top
C27,220pF,C_0603_1608Metric,194.809325,-99.472404,0.0,top
C28,220pF,C_0603_1608Metric,195.985888,-123.516097,-90.0,top
C29,220pF,C_0603_1608Metric,197.164013,-103.105962,0.0,top
C3,100 nF,C_0603_1608Metric,186.67495,-102.678485,0.0,top
C30,220pF,C_0603_1608Metric,197.164013,-115.930286,180.0,top
C31,1 uF,C_0603_1608Metric,166.017138,-135.271728,-90.0,top
C32,1 uF,C_0603_1608Metric,161.94995,-129.500782,90.0,top
C4,100 nF,C_0603_1608Metric,186.67495,-100.968575,0.0,top
C5,100 nF,C_0603_1608Metric,186.67495,-116.144025,0.0,top
C6,100 nF,C_0603_1608Metric,181.109325,-132.174431,0.0,top
C7,100 nF,C_0603_1608Metric,168.265575,-127.472178,180.0,top
C8,100 nF,C_0603_1608Metric,174.68745,-127.472178,0.0,top
C9,10 uF,C_0603_1608Metric,177.898388,-136.235467,180.0,top
FB1,120Ohm 2A,R_0805_2012Metric,195.009325,-120.840016,0.0,top
FB2,120Ohm 2A,R_0805_2012Metric,197.704325,-108.995602,-90.0,top
FB3,120Ohm 2A,R_0805_2012Metric,189.56995,-101.301007,90.0,top
FB4,120Ohm 2A,R_0805_2012Metric,197.490263,-100.446052,90.0,top
FB7,600Ohm 2A,C_0603_1608Metric,190.528075,-120.846277,0.0,top
IC1,DA14AVDDECT_SF01,DA14AVDDECTSF01,175.665,-113.75,-90.0,top
J1,USB_C_Receptacle_USB2.0_16P,USB_C_Receptacle_HRO_TYPE-C-31-M-12,170.0,-140.84,180.0,top
J2,JTAG,PinHeader_1x05_P2.54mm_Vertical,157.05,-104.54,0.0,top
J3,I2C,PinHeader_1x02_P2.54mm_Vertical,157.05,-115.71,0.0,top
J4,UART,PinHeader_1x02_P2.54mm_Vertical,157.05,-123.235,0.0,top
J5,L_OUT,WJ500V-5.08-2P,203.95,-103.2,90.0,top
J6,ANT,SMA_BAT_Wireless_BWSMA-KWE-Z001,205.6,-135.0,-90.0,top
J7,R_OUT,WJ500V-5.08-2P,203.95,-114.45,90.0,top
MK2,IM69D130,Infineon_PG-LLGA-5-1,180.907,-141.382499,90.0,top
R1,22,R_0603_1608Metric,179.521053,-128.965455,-90.0,top
R11,100 Ohm,R_0603_1608Metric,164.41245,-128.96835,0.0,top
R2,22,R_0603_1608Metric,177.888653,-128.965455,-90.0,top
R3,5.1k,R_0603_1608Metric,176.292138,-138.691548,90.0,top
R4,5.1k,R_0603_1608Metric,164.304638,-135.271728,90.0,top
R5,100 Ohm,R_0603_1608Metric,191.490575,-118.386368,90.0,top
SW1,KH-6X6X5H-STM,KH-6X6X5H-STM_SKE,160.100001,-138.999999,90.0,top
U1,NCP1117-3.3_SOT223,SOT-223-3_TabPin2,171.827763,-132.897989,0.0,top
U6,PAM8406D,SOIC-16_3.9x9.9mm_P1.27mm,192.6,-109.8375,270.0,top
