Designator,Footprint,Quantity,Value,LCSC Part #
AE1,U.FL_Hirose_U.FL-R-SMT-1_Vertical,1,Antenna,C88374
"C1, C3",0805,2,10uF,C15850
"C10, C11",0805,2,18pF,C113825
"C12, C13, C14, C2, C22, C4, C5, C6, C7, C8, C9",0805,11,100nF,C28233
"C15, C16, C18",0805,3,1 uF,C28323
C17,CP_Elec_6.3x7.7,1,470 uF,C335982
C19,0805,1,0.1 uF,C49678
"C20, C21",0805,2,0.47 uF,C13967
C23,0805,1,10 uF,C15850
C24,0805,1,22 uF,C45783
C25,0805,1,1 nF,C1791
F1,1206,1,500 mA,C135341
J1,WJ500V-5.08-2P,1,L_OUT,C8465
J2,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0,C165948
J3,WJ500V-5.08-2P,1,R_OUT,C8465
J4,PinHeader_1x01_P2.54mm_Vertical,1,VBUS,C492400
J5,PinHeader_1x01_P2.54mm_Vertical,1,GND,C492400
L1,IND_PA4332.222NLT,1,2.2 uH,C3222957
"R1, R11, R14, R15, R4, R5",0805,6,10k,C17414
"R10, R3",0805,2,4.7k,C17414
R12,0805,1,562kΩ,C2849274
R13,0805,1,180kΩ,C17501
R2,0805,1,10k Ohm,C84376
R22,0805,1,100k,C149504
"R6, R7",0805,2,5.1k,C27834
"R8, R9",0805,2,22,C17561
S1,SSSS811101,1,SSSS811101,C109335
SW2,KH-6X6X5H-STM_SKE,1,EN,C2837531 
U1,SOIC-16_3.9x9.9mm_P1.27mm,1,PAM8403D,C4990933
U2,SI470X_20_QFN,1,SI4702-C19-GMR,C2155666
U3,ESP32-S2-MINI-1,1,ESP32-S3-MINI-1,C2913206 
U4,SOT-143,1,PRTR5V0U2X,C2827688
U5,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm_ThermalVias,1,TPS62160DSG,C324077 
Y1,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,32.768 kHz,C32346
