Designator,Mid X,Mid Y,Rotation,Layer
C1,187.383978,-88.082863,0.0,top
C10,153.078422,-114.051613,270.0,top
C11,156.633978,-107.371925,270.0,top
C12,154.495089,-121.035988,180.0,top
C13,154.495089,-119.254738,180.0,top
C14,157.078422,-119.840675,270.0,top
C15,155.537311,-117.053488,180.0,top
C16,159.161756,-123.930519,180.0,top
C17,151.967311,-117.1688,90.0,top
C18,151.745089,-106.4813,270.0,top
C19,151.522867,-99.801613,90.0,top
C2,187.383978,-89.864113,0.0,top
C20,155.967311,-95.7938,90.0,top
C21,156.633978,-123.403175,270.0,top
C22,166.411756,-109.598488,90.0,top
C23,170.495089,-115.692238,0.0,top
C24,181.967311,-86.442238,90.0,top
C25,154.8562,-107.371925,90.0,top
C26,156.717311,-127.938331,0.0,top
C3,167.161756,-118.809425,0.0,top
C4,167.522867,-121.621925,270.0,top
C5,186.272867,-93.426613,0.0,top
C6,185.6062,-91.645363,0.0,top
C7,167.161756,-117.028175,0.0,top
C8,184.8562,-89.114113,90.0,top
C9,184.411756,-85.996925,90.0,top
F1,167.2562,-113.696925,90.0,top
FB1,153.583978,-123.933175,0.0,top
FB2,160.028422,-125.937081,0.0,top
FB3,162.917311,-94.765206,180.0,top
FB4,153.520644,-100.714894,90.0,top
J1,156.0,-88.6,270.0,top
J2,197.96,-111.5,90.0,top
J3,156.0,-134.5,270.0,top
J4,181.673978,-92.609269,0.0,top
J5,193.673978,-120.886613,90.0,top
J6,161.546756,-108.104113,270.0,top
L1,178.031756,-88.021456,90.0,top
R1,191.745089,-125.407081,90.0,top
R10,172.050644,-101.442238,0.0,top
R11,152.411756,-110.711769,90.0,top
R12,178.028422,-91.648019,0.0,top
R13,179.361756,-97.437081,0.0,top
R2,155.967311,-103.586769,90.0,top
R22,171.161756,-86.969581,180.0,top
R3,173.6062,-103.446144,180.0,top
R4,162.495089,-123.930519,0.0,top
R5,182.717311,-121.926613,0.0,top
R6,196.8562,-120.953956,90.0,top
R7,196.050644,-123.707863,0.0,top
R8,168.929799,-108.849422,270.0,top
R9,170.562199,-108.849422,270.0,top
S1,175.049533,-129.752706,90.0,top
SW2,184.512268,-129.202288,0.0,top
U1,180.298422,-112.925363,270.0,top
U2,155.955707,-113.723915,270.0,top
U4,170.410644,-113.040988,270.0,top
U5,182.218946,-89.344113,0.0,top
U6,161.8262,-117.679269,270.0,top
Y1,155.459533,-110.3738,180.0,top
