Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C23, C3",0603,3,10uF,
"C10, C11",0603,2,18pF,
"C12, C2, C22, C29, C4, C5, C6, C7",0603,8,100nF,
"C15, C24",1206,2,47uF,
"C16, C17, C18",0603,3,1 uF,
"C19, C20, C21, C26",0603,4,220pF,
C25,0603,1,1 nF,
C27,0603,1,470 nF,
C28,0603,1,22 uF,
C8,CP_Radial_D12.5mm_P5.00mm,1,680 uF,
F1,1206,1,500 mA,
"FB1, FB2, FB3, FB4, FB5",0805,5,120Ohm 2A,
IC1,SOP65P490X110-8N,1,TPS62160DGKR,
IC2,SOIC127P600X175-16N,1,SI4732-A10-GSR,
J1,WJ500V-5.08-2P,1,L_OUT,
J2,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0,
J3,WJ500V-5.08-2P,1,R_OUT,
J4,PinHeader_1x10_P2.54mm_Vertical,1,Conn_01x10_Pin,
J5,PinHeader_1x01_P2.54mm_Vertical,1,GND,
J6,BAT_WIRELESS_BWSMA-KE-Z001,1,FM-ANT,
J7,BAT_WIRELESS_BWSMA-KE-Z001,1,AM-ANT,
J8,PinHeader_1x01_P2.54mm_Vertical,1,3V3,
J9,PinHeader_1x01_P2.54mm_Vertical,1,VBUS,
L2,IND_PA4332.222NLT,1,2.2 uH,
L3,L_Taiyo-Yuden_NR-40xx_HandSoldering,1,500 uH,
"R1, R11, R4, R5",0603,4,10k Ohm,
"R10, R3",0603,2,4.7k,
R15,0603,1,100k,
R16,0805,1,562kΩ,
R17,0603,1,180kΩ,
"R6, R7",0603,2,5.1k,
"R8, R9",0603,2,22,
S1,SSSS811101,1,SSSS811101,
SW2,KH-6X6X5H-STM_SKE,1,EN,
U1,ESP32-S2-MINI-1U,1,ESP32-S3-MINI-1U,
U4,SOT-143,1,PRTR5V0U2X,
U6,SOIC-16_3.9x9.9mm_P1.27mm,1,PAM8406D,
Y1,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,32.768 kHz,
