Designator,Mid X,Mid Y,Rotation,Layer
C10,222.291942,-131.395895,0.0,top
C11,162.386864,-109.232452,180.0,top
C12,178.0,-100.85,270.0,top
C13,176.65,-104.45,270.0,top
C16,162.386864,-111.079406,180.0,top
C17,197.9,-106.6,90.0,top
C18,199.45,-106.6,90.0,top
C19,158.5,-100.45,180.0,top
C20,154.975927,-104.615068,0.0,top
C21,150.961669,-104.922894,180.0,top
C22,203.9,-119.5,180.0,top
C23,218.825,-100.15,0.0,top
C24,161.662919,-105.118545,180.0,top
C25,217.75,-92.15,180.0,top
C26,157.622606,-108.790278,270.0,top
C27,205.9,-92.25,0.0,top
C28,218.825,-94.3,0.0,top
C29,219.2,-105.5,180.0,top
C30,211.710692,-102.888545,90.0,top
C31,218.636473,-102.099417,180.0,top
C32,213.883427,-103.533843,270.0,top
C33,212.35,-108.9375,90.0,top
C34,206.45,-108.8625,270.0,top
C35,216.033739,-102.888545,90.0,top
C36,214.75,-112.0,180.0,top
C37,203.5,-116.15,270.0,top
C38,213.9,-129.95,90.0,top
C39,185.95,-97.7,90.0,top
C40,188.05,-97.7,90.0,top
C41,193.633058,-112.83492,90.0,top
C42,193.221847,-109.960141,0.0,top
C43,180.35,-107.25,0.0,top
C44,191.471534,-112.83492,270.0,top
C45,195.38337,-107.805362,180.0,top
C46,193.6,-100.3,0.0,top
C47,187.148487,-111.911444,270.0,top
C48,184.986964,-111.911444,270.0,top
C49,189.310011,-111.911444,270.0,top
C5,162.386864,-103.07594,180.0,top
C50,182.105441,-109.34449,180.0,top
C6,162.386864,-107.385498,180.0,top
C8,162.6,-94.95,270.0,top
C9,219.204052,-127.701988,0.0,top
F1,218.15,-129.75,180.0,top
FB1,157.65,-112.15,90.0,top
FB2,159.695341,-108.898103,90.0,top
FB3,157.842606,-105.204196,90.0,top
FB4,158.55,-102.4,0.0,top
FB5,208.65,-104.8,180.0,top
FB6,208.65,-102.75,180.0,top
FB7,168.7,-99.65,0.0,top
IC3,211.85,-97.15,270.0,top
J1,151.55,-97.85,270.0,top
J10,148.0,-137.8,0.0,top
J2,218.65,-137.81,0.0,top
J3,151.65,-111.34,270.0,top
J4,182.55,-138.1,270.0,top
J5,159.35,-137.8,0.0,top
J6,220.15,-87.1,0.0,top
J7,203.5,-87.15,0.0,top
J8,155.55,-137.8,0.0,top
J9,151.75,-137.8,0.0,top
L3,211.7,-87.4,0.0,top
R10,215.15,-125.8,90.0,top
R11,195.3,-105.65,180.0,top
R12,180.7,-101.8,0.0,top
R13,176.591161,-127.394162,0.0,top
R14,184.6,-127.4,0.0,top
R16,172.1,-127.4,180.0,top
R17,166.35,-127.4,0.0,top
R18,195.3,-102.4,180.0,top
R19,183.35,-99.85,90.0,top
R20,190.15,-97.75,90.0,top
R3,213.5,-125.8,270.0,top
R4,195.3,-104.05,180.0,top
R5,192.2,-127.3,0.0,top
R6,220.6,-124.3,270.0,top
R7,222.6,-124.3,270.0,top
R8,207.910344,-122.344338,180.0,top
R9,207.910344,-120.711938,180.0,top
SW1,167.75,-132.5,180.0,top
SW2,179.050001,-132.449999,0.0,top
SW3,190.300001,-132.449999,0.0,top
U1,204.5,-132.0,180.0,top
U2,208.75,-114.8125,0.0,top
U3,209.4,-108.9125,0.0,top
U4,203.884598,-122.114604,180.0,top
U6,168.25,-106.0,270.0,top
U7,187.95,-104.7,90.0,top
Y1,179.95,-104.4,180.0,top
Y2,218.5,-97.25,270.0,top
