Designator,Footprint,Quantity,Value,LCSC Part #
C1,EEE1AA101SP,1,EEE-FT1V680AP,C413520
CBYP1,0805,1,100nF,C784084
"CCOMP1, CCOMP2",0805,2,1.5nF,C1717
CCOMP3,0805,1,150pF,C2168780
CFILT1,0805,1,10 pF,C107107
D1,STTH506BTR,1,STTH506B,C283501
"GND1, VIN1",PinHeader_1x01_P2.54mm_Vertical,2,Conn_01x01,C492400
J1,WJ500V-5.08-2P,1,Screw_Terminal_01x02,C8465
L1,CYH127-330UH,1,CYH127-330UH,C2929508
Q1,FQD16N25CTM,1,FQD16N25CTM,C415866
RCOMP1,0805,1,162 kOhm,C47115899
RFADJ1,0805,1,147 kOhm,C47115874
RFB1,0805,1,8.06 kOhm,C857074
RFB2,1206,1,1.2MOhm,C36337
RFILT1,0805,1,100 Ohm,C17408
RSENSE1,1210,1,33 mOhm,C723419
U1,VSSOP-8_3x3mm_P0.65mm,1,LM3478MM,C9404
