Designator,Mid X,Mid Y,Rotation,Layer
C1,162.649156,-87.395675,180.0,top
C10,186.543621,-131.728488,90.0,top
C11,187.743181,-134.846925,0.0,top
C5,183.427143,-130.05005,0.0,top
C6,183.427143,-132.448488,0.0,top
C8,183.906703,-134.846925,0.0,top
C9,182.707143,-126.931612,90.0,top
CBYP1,170.47903,-88.796925,0.0,top
CCOMP1,169.99947,-94.553175,0.0,top
CCOMP2,154.653558,-93.114113,180.0,top
CCOMP3,173.595508,-89.515988,270.0,top
CFILT1,174.075068,-93.353487,270.0,top
D1,182.957867,-73.914425,180.0,top
GND1,201.720414,-135.495987,0.0,top
IC1,182.177816,-104.297571,270.0,top
J1,155.8,-48.15,270.0,top
J2,152.7,-118.01,270.0,top
L1,168.235634,-76.181612,0.0,top
Q1,179.762867,-87.324425,180.0,top
Q10,192.768779,-47.303487,0.0,top
Q12,175.754187,-37.00005,90.0,top
Q2,179.590665,-36.520362,270.0,top
Q3,158.720036,-63.133175,0.0,top
Q4,156.322238,-60.25505,180.0,top
Q5,167.352112,-100.069113,180.0,top
Q6,170.70903,-101.987863,0.0,top
Q7,177.422867,-113.98005,0.0,top
Q8,174.795068,-110.871925,270.0,top
Q9,190.37098,-44.425362,180.0,top
R1,162.786074,-134.876925,0.0,top
R10,178.611546,-39.8988,0.0,top
R11,166.142992,-63.403487,0.0,top
R12,155.342238,-64.11255,90.0,top
R13,152.944439,-60.754737,90.0,top
R14,152.944439,-64.592237,90.0,top
R15,166.622552,-116.169113,0.0,top
R16,198.023055,-137.984425,90.0,top
R17,166.622552,-103.21755,0.0,top
R18,170.93859,-111.851925,0.0,top
R19,168.061231,-105.615988,0.0,top
R2,181.488904,-112.8113,0.0,top
R21,172.377269,-114.250363,0.0,top
R22,172.856829,-105.1363,180.0,top
R23,175.734187,-107.534738,180.0,top
R24,174.045068,-100.5688,90.0,top
R25,186.993181,-44.92505,270.0,top
R26,186.284502,-48.053487,0.0,top
R27,189.39098,-48.282862,90.0,top
R3,181.009345,-42.776925,0.0,top
R4,175.483747,-41.08755,90.0,top
R5,162.786074,-132.478488,0.0,top
R6,161.576514,-111.601613,90.0,top
R7,163.974313,-113.040675,90.0,top
R8,161.576514,-115.439113,90.0,top
R9,159.908716,-118.56755,0.0,top
RCOMP1,204.257332,-91.454738,90.0,top
RFADJ1,170.45903,-92.184737,180.0,top
RFB1,186.284502,-84.509737,0.0,top
RFB2,185.734502,-80.7813,270.0,top
RFILT1,177.172867,-95.062863,0.0,top
RSENSE1,186.184502,-87.976612,270.0,top
S1,154.005,-129.31,270.0,top
SW2,161.479916,-125.78075,270.0,top
U1,171.95903,-85.558487,0.0,top
U2,173.3,-130.95,180.0,top
U4,196.650099,-116.10505,180.0,top
U5,197.609219,-65.737862,180.0,top
VIN1,195.006577,-37.16005,90.0,top
