Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100 pF,C_0603_1608Metric,195.48745,-116.57287,0.0,top
C2,100 pF,C_0603_1608Metric,230.023192,-116.57287,0.0,top
C3,100 pF,C_0603_1608Metric,187.87788,-102.841765,180.0,top
C4,100 pF,C_0603_1608Metric,229.565868,-110.271998,90.0,top
C5,1 uF,C_0603_1608Metric,232.071923,-112.482753,0.0,top
C6,100 nF,C_0603_1608Metric,213.11,-109.4,-90.0,top
J1,OUT,SMA_BAT_Wireless_BWSMA-KWE-Z001,246.225,-120.825,-90.0,top
J2,IN,SMA_BAT_Wireless_BWSMA-KWE-Z001,179.175,-120.825,90.0,top
J3,PWR,WJ500V-5.08-2P,181.125,-105.4,-90.0,top
L1,18 nH,L_0805_2012Metric,229.393192,-113.799963,-90.0,top
R1,3.3k,R_0603_1608Metric,211.41997,-109.395544,-90.0,top
U1,QPL9547,DFN-8-1EP_2x2mm_P0.5mm_EP0.8x1.6mm,212.6625,-112.4125,270.0,top
