Designator,Mid X,Mid Y,Rotation,Layer
C1,161.334399,-85.806613,90.0,top
C2,165.095631,-88.120363,180.0,top
C3,157.235347,-78.76755,90.0,top
F1,157.385347,-83.101613,90.0,top
J1,174.421555,-85.064425,180.0,top
J2,163.68,-98.16,0.0,top
J5,160.669897,-89.455363,180.0,top
R1,172.014826,-70.021925,90.0,top
R6,156.5453,-93.0188,0.0,top
R7,156.5453,-91.292238,180.0,top
R8,160.812515,-77.441609,270.0,top
R9,159.180115,-77.441609,270.0,top
SW1,163.620287,-71.3726,180.0,top
U1,167.346933,-81.591908,90.0,top
U4,160.607669,-81.5238,270.0,top
