Designator,Mid X,Mid Y,Rotation,Layer
C1,181.46,-117.8,0.0,top
C2,178.415,-117.8,180.0,top
C3,164.1497,-126.842007,270.0,top
C4,170.7497,-121.515788,180.0,top
C5,169.127554,-125.979512,180.0,top
C6,169.127554,-128.166951,180.0,top
C7,157.79,-121.45,90.0,top
C8,170.86,-112.92,90.0,top
C9,166.3497,-127.108105,270.0,top
D1,156.02,-120.81,270.0,top
D2,190.64,-121.43,180.0,top
F1,157.07,-118.72,0.0,top
J1,149.88,-115.35,270.0,top
J2,194.524108,-126.905302,90.0,top
J3,189.474108,-113.085302,90.0,top
J4,204.569108,-123.065302,0.0,top
J5,180.784108,-111.835302,90.0,top
J6,202.024108,-113.065302,270.0,top
R1,171.03,-116.13,0.0,top
R2,171.03,-117.66,0.0,top
R3,156.88,-114.12,0.0,top
R4,156.87,-116.92,0.0,top
SW1,153.0791,-126.623151,0.0,top
U1,179.96,-123.72,270.0,top
U2,164.385287,-118.321657,270.0,top
U4,174.78,-112.8275,180.0,top
Y1,172.83,-127.04,270.0,top
