Comment,Designator,Footprint,LCSC,Quantity
CH569W,U1,CH569W,C2857462,1
KLMAG1JETD-B041,U2,KLMAG1JETD-B041,C499919,1
5.1k,R2,R_0603_1608Metric,,1
3.3uF,C3,C_0603_1608Metric,,1
3.3uF,C2,C_0603_1608Metric,,1
100nF,C21,C_0603_1608Metric,,1
USB_C_Receptacle_USB2.0_16P,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,,1
20pF,C6,C_0603_1608Metric,,1
20pF,C5,C_0603_1608Metric,,1
Conn_02x09_Odd_Even,J3,PinHeader_2x09_P2.54mm_Vertical,,1
100nF,C23,C_0603_1608Metric,,1
100nF,C22,C_0603_1608Metric,,1
Conn_01x07_Pin,J4,PinHeader_1x07_P2.54mm_Vertical,,1
100nF,C7,C_0603_1608Metric,,1
100nF,C9,C_0603_1608Metric,,1
100nF,C4,C_0603_1608Metric,,1
100nF,C13,C_0603_1608Metric,,1
30MHz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,,1
100nF,C14,C_0603_1608Metric,,1
22,R4,R_0603_1608Metric,,1
3.3uF,C25,C_0603_1608Metric,,1
100nF,C12,C_0603_1608Metric,,1
AP2112K-3.3,U4,SOT-23-5,,1
3.3uF,C24,C_0603_1608Metric,,1
3.3uF,C27,C_0603_1608Metric,,1
100nF,C20,C_0603_1608Metric,,1
100nF,C10,C_0603_1608Metric,,1
1uF,C16,C_0603_1608Metric,,1
22,R3,R_0603_1608Metric,,1
100nF,C19,C_0603_1608Metric,,1
100nF,C17,C_0603_1608Metric,,1
100nF,C18,C_0603_1608Metric,,1
100nF,C8,C_0603_1608Metric,,1
TLV75512PDBV,U5,SOT-23-5,,1
100nF,C1,C_0603_1608Metric,,1
5.1k,R1,R_0603_1608Metric,,1
3.3uF,C26,C_0603_1608Metric,,1
SerDes,J2,PinHeader_1x02_P2.54mm_Vertical,,1
100nF,C11,C_0603_1608Metric,,1
100nF,C15,C_0603_1608Metric,,1
