Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0603_1608Metric,154.928606,-113.645735,0.0,top
C10,100nF,C_0603_1608Metric,155.974075,-102.456387,0.0,top
C11,100nF,C_0603_1608Metric,148.167161,-114.977474,90.0,top
C12,100nF,C_0603_1608Metric,141.71,-103.81,0.0,top
C13,100nF,C_0603_1608Metric,137.15,-102.69,90.0,top
C14,100nF,C_0603_1608Metric,138.78,-102.715,90.0,top
C15,100nF,C_0603_1608Metric,122.006915,-107.424304,180.0,top
C16,1uF,C_0603_1608Metric,137.592852,-110.68885,180.0,top
C17,100nF,C_0603_1608Metric,128.913165,-116.739986,-90.0,top
C18,100nF,C_0603_1608Metric,130.827227,-116.739986,-90.0,top
C19,100nF,C_0603_1608Metric,122.006915,-105.519986,180.0,top
C2,3.3uF,C_0603_1608Metric,158.32638,-108.18117,0.0,top
C20,100nF,C_0603_1608Metric,137.592852,-108.784532,0.0,top
C21,100nF,C_0603_1608Metric,132.74129,-116.739986,-90.0,top
C22,100nF,C_0603_1608Metric,137.592852,-105.519986,0.0,top
C23,100nF,C_0603_1608Metric,146.65,-115.83,90.0,top
C24,3.3uF,C_0603_1608Metric,111.96,-108.75,0.0,top
C25,3.3uF,C_0603_1608Metric,112.095,-107.12,0.0,top
C26,3.3uF,C_0603_1608Metric,111.995,-104.4,0.0,top
C27,3.3uF,C_0603_1608Metric,112.08,-102.8,0.0,top
C3,3.3uF,C_0603_1608Metric,154.928606,-111.824213,0.0,top
C4,100nF,C_0603_1608Metric,148.167161,-102.226822,90.0,top
C5,20pF,C_0603_1608Metric,158.89,-103.61,-90.0,top
C6,20pF,C_0603_1608Metric,154.55,-108.55,-90.0,top
C7,100nF,C_0603_1608Metric,143.985286,-102.226822,90.0,top
C8,100nF,C_0603_1608Metric,158.32638,-110.002691,0.0,top
C9,100nF,C_0603_1608Metric,142.26,-105.43,180.0,top
J1,USB_C_Receptacle_USB2.0_16P,USB_C_Receptacle_HRO_TYPE-C-31-M-12,103.69,-114.64,90.0,top
J2,SerDes,PinHeader_1x02_P2.54mm_Vertical,101.83,-105.185,180.0,top
J3,Conn_02x09_Odd_Even,PinHeader_2x09_P2.54mm_Vertical,163.84,-108.06,0.0,top
J4,Conn_01x07_Pin,PinHeader_1x07_P2.54mm_Vertical,109.42,-97.8,-90.0,top
R1,5.1k,R_0603_1608Metric,111.45345,-113.397345,0.0,top
R2,5.1k,R_0603_1608Metric,111.45345,-116.389845,180.0,top
R3,22,R_0603_1608Metric,150.765097,-101.020821,90.0,top
R4,22,R_0603_1608Metric,152.580697,-101.020821,90.0,top
U1,CH569W,CH569W,148.638152,-108.531959,180.0,top
U2,KLMAG1JETD-B041,KLMAG1JETD-B041,129.77,-108.27,180.0,top
U4,AP2112K-3.3,SOT-23-5,108.77,-106.9575,0.0,top
U5,TLV75512PDBV,SOT-23-5,108.78,-102.5475,0.0,top
Y1,30MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,155.598152,-105.241959,180.0,top
