pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
154.928606,-113.645735,0.0,top,C1,,,C_0603_1608Metric,100nF,smt
155.974075,-102.456387,0.0,top,C10,,,C_0603_1608Metric,100nF,smt
148.167161,-114.977474,90.0,top,C11,,,C_0603_1608Metric,100nF,smt
141.71,-103.81,0.0,top,C12,,,C_0603_1608Metric,100nF,smt
137.15,-102.69,90.0,top,C13,,,C_0603_1608Metric,100nF,smt
138.78,-102.715,90.0,top,C14,,,C_0603_1608Metric,100nF,smt
122.006915,-107.424304,180.0,top,C15,,,C_0603_1608Metric,100nF,smt
137.592852,-110.68885,180.0,top,C16,,,C_0603_1608Metric,1uF,smt
128.913165,-116.739986,-90.0,top,C17,,,C_0603_1608Metric,100nF,smt
130.827227,-116.739986,-90.0,top,C18,,,C_0603_1608Metric,100nF,smt
122.006915,-105.519986,180.0,top,C19,,,C_0603_1608Metric,100nF,smt
158.32638,-108.18117,0.0,top,C2,,,C_0603_1608Metric,3.3uF,smt
137.592852,-108.784532,0.0,top,C20,,,C_0603_1608Metric,100nF,smt
132.74129,-116.739986,-90.0,top,C21,,,C_0603_1608Metric,100nF,smt
137.592852,-105.519986,0.0,top,C22,,,C_0603_1608Metric,100nF,smt
146.65,-115.83,90.0,top,C23,,,C_0603_1608Metric,100nF,smt
111.96,-108.75,0.0,top,C24,,,C_0603_1608Metric,3.3uF,smt
112.095,-107.12,0.0,top,C25,,,C_0603_1608Metric,3.3uF,smt
111.995,-104.4,0.0,top,C26,,,C_0603_1608Metric,3.3uF,smt
112.08,-102.8,0.0,top,C27,,,C_0603_1608Metric,3.3uF,smt
154.928606,-111.824213,0.0,top,C3,,,C_0603_1608Metric,3.3uF,smt
148.167161,-102.226822,90.0,top,C4,,,C_0603_1608Metric,100nF,smt
158.89,-103.61,-90.0,top,C5,,,C_0603_1608Metric,20pF,smt
154.55,-108.55,-90.0,top,C6,,,C_0603_1608Metric,20pF,smt
143.985286,-102.226822,90.0,top,C7,,,C_0603_1608Metric,100nF,smt
158.32638,-110.002691,0.0,top,C8,,,C_0603_1608Metric,100nF,smt
142.26,-105.43,180.0,top,C9,,,C_0603_1608Metric,100nF,smt
102.23,-114.64,-90.0,top,J1,,,USB_C_Receptacle_HRO_TYPE-C-31-M-12,USB_C_Receptacle_USB2.0_16P,smt
101.83,-106.455,180.0,top,J2,,,PinHeader_1x02_P2.54mm_Vertical,SerDes,tht
162.57,-97.9,0.0,top,J3,,,PinHeader_2x09_P2.54mm_Vertical,Conn_02x09_Odd_Even,tht
117.04,-97.8,-90.0,top,J4,,,PinHeader_1x07_P2.54mm_Vertical,Conn_01x07_Pin,tht
111.45345,-113.397345,0.0,top,R1,,,R_0603_1608Metric,5.1k,smt
111.45345,-116.389845,180.0,top,R2,,,R_0603_1608Metric,5.1k,smt
150.765097,-101.020821,90.0,top,R3,,,R_0603_1608Metric,22,smt
152.580697,-101.020821,90.0,top,R4,,,R_0603_1608Metric,22,smt
148.638152,-108.531959,180.0,top,U1,CH569W,,CH569W,CH569W,smt
129.77,-108.27,180.0,top,U2,KLMAG1JETD-B041,,KLMAG1JETD-B041,KLMAG1JETD-B041,smt
108.77,-106.9575,90.0,top,U4,,,SOT-23-5,AP2112K-3.3,smt
108.78,-102.5475,90.0,top,U5,,,SOT-23-5,TLV75512PDBV,smt
155.598152,-105.241959,180.0,top,Y1,,,Crystal_SMD_3225-4Pin_3.2x2.5mm,30MHz,smt
