Designator,Footprint,Quantity,Value,LCSC Part #
"BOOT1, RST1",SW_SPST_TL3342,2,SW_SPST,C2886897
"C1, C10, C9",0805,3,10uF,C307331
C11,0805,1,100uF,C307331
"C12, C13, C14, C15, C16, C17, C2, C3, C4, C5, C6, C7, C8",0805,13,100nF,C307331
"C18, C19",1210,2,10 uF,C18739
"C20, C21",0805,2,10 pF,C307331
C22,0805,1,1 nF,C1791
C23,0805,1,10 pF,C41361255
C24,0805,1,"8,2 nF",C1758
C25,0805,1,100 nF,C710980
"C26, C27",1210,2,47 uF,C3903983
D12,0805,1,3.3V LED,C98225
D4,0805,1,5V LED,C98225
D5,DIOM6959X245N,1,B540C-13-F,C72264
F1,1206,1,500mA,C135341
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0,C165948
"J10, J8",PinHeader_1x10_P2.54mm_Vertical,2,Conn_01x10_Pin,C42431810
"J11, J12, J2, J4, J5, J6, J9","TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",7,Screw_Terminal_01x02,C5183929
J3,BarrelJack_Horizontal,1,Barrel_Jack,C319099
L1,IND_BOURNS_SDR1307,1,"8,2 uH",C49672242
"R1, R2",0805,2,5.1k,C2930296
"R10, R11",0805,2,22,C107702
"R12, R13, R14",0805,3,0.01,C2903468
"R15, R16, R22, R23, R24, R25, R5, R6, R7, R8, R9",0805,11,10k,C84376
R17,0805,1,"34,8 k",C2076772
R18,0805,1,"10,2 k",C481923
R19,0805,1,"1,96 k",C2092068
R20,0805,1,150,C17471
R21,0805,1,330,C17630
"R3, R4",0805,2,5.1k,
SW1,Nidec_Copal_CAS-120A,1,POW_SEL,C5962834
U1,LQFP-48_7x7mm_P0.5mm,1,STM32F072CBT6,C81720
U2,SOT-143,1,PRTR5V0U2X,C2827688
U3,JEITA_SOIC-8_3.9x4.9mm_P1.27mm,1,MX25L3233FM1,C2802994
U4,Texas_RGV0016A_VQFN-16-1EP_4x4mm_P0.65mm_EP2.1x2.1mm,1,INA3221,C181255
U5,CONV_TPS54331DDAR,1,TPS54331DDAR,C90761
U6,ESP-07,1,ESP-07,C82894
"U7, U8",DIP-16_W7.62mm,2,L293D,C12340
U9,SOT-223-3_TabPin2,1,TLV76133DCY, C7527500
Y2,XTAL_ECS-320-10-36B2-CTN-TR,1,ECS-320-10-36B2-CTN-TR,C6239260
