Comment,Designator,Footprint,LCSC,Quantity
1 uF,"C15,C16,C17,C23,C26,C3,C5",C_0402_1005Metric,C52923,7
100,"R19,R20",R_0603_1608Metric,C22775,2
100 nF,"C10,C11,C12,C13,C14,C19,C21,C24,C25,C27,C29,C30,C31,C32,C33,C34,C35,C4,C6,C7",C_0402_1005Metric,C307331,20
100 nF,"C79,C82",C_0805_2012Metric,C49678,2
100 pF,C22,C_0402_1005Metric,C1546,1
100k,"R23,R24",R_0603_1608Metric,C25803,2
10k,"R1,R2",R_0402_1005Metric,C25744,2
12 MHz,Y3,Crystal_SMD_3225-4Pin_3.2x2.5mm,C19631429,1
12 pF,C59,C_0805_2012Metric,C107108,1
12 pF,C18,C_0402_1005Metric,C1547,1
12 uH,L1,L_0805_2012Metric,C51886102,1
120 Ohm,FB1,R_0603_1608Metric,C14709,1
13.7k,R25,R_0603_1608Metric,C22793,1
18 pF,"C8,C9",C_0402_1005Metric,C1549,2
1k,"R13,R14,R15",R_0603_1608Metric,C21190,3
22,"R5,R6",R_0805_2012Metric,C17561,2
2k,"R10,R12,R9",R_0603_1608Metric,C22975,3
4.7k,"R21,R22",R_0402_1005Metric,C25900,2
47 uF,C28,C_1206_3216Metric,C76659,1
5.1k,"R3,R4",R_0805_2012Metric,C27834,2
560,"R16,R17,R18",R_0603_1608Metric,C23204,3
6.8 uF,C20,C_0805_2012Metric,C5159422,1
8 MHz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C34748,1
ADS1015IDGS,U3,TSSOP-10_3x3mm_P0.5mm,C193969,1
AMS1117-3.3,U2,SOT-223-3_TabPin2,C6186,1
BOOT,SW1,KH-6X6X5H-STM_SKE,C2837531,1
BZV55C10,D1,D_MiniMELF,C2892588,1
CH340G,U6,SOIC-16_3.9x9.9mm_P1.27mm,C14267,1
DE15_Pins_HighDensity,J2,DSUB-15-HD_Pins_Horizontal_P2.29x1.90mm_EdgePinOffset3.03mm_Housed_MountingHolesOffset4.94mm,C379814,1
LM75B,U8,SOIC-8_3.9x4.9mm_P1.27mm,C34565,1
RST,SW2,KH-6X6X5H-STM_SKE,C2837531,1
STM32H743ZITx,U1,LQFP-144_20x20mm_P0.5mm,C114408,1
SUD50P10-43L,Q2,TO-252-2,C913430,1
TPS54302,U5,SOT-23-6,C311983,1
USB_C_Receptacle_USB2.0,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948,1
VBAT,BT1,BatteryHolder_Keystone_103_1x20mm,C238065,1
W25Q32JVSS,U7,SOIC-8_5.3x5.3mm_P1.27mm,C179173,1
WS2812B-B,"U10,U11,U12,U9",LED_WS2812B-B,C2761795,4
Conn_01x16_Pin,J7,PinHeader_1x16_P2.54mm_Vertical,,1
4k,R11,R_0603_1608Metric,,1
Conn_01x16_Pin,J8,PinHeader_1x16_P2.54mm_Vertical,,1
12V,J4,BarrelJack_CUI_PJ-063AH_Horizontal,,1
SWD,J10,PinHeader_1x05_P2.54mm_Vertical,,1
4k,R8,R_0603_1608Metric,,1
4k,R7,R_0603_1608Metric,,1
Conn_01x16_Pin,J9,PinHeader_1x16_P2.54mm_Vertical,,1
Conn_01x16_Pin,J5,PinHeader_1x16_P2.54mm_Vertical,,1
Conn_01x16_Pin,J6,PinHeader_1x16_P2.54mm_Vertical,,1
V_MESR,J3,PinHeader_1x04_P2.54mm_Vertical,,1
