Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BT1,VBAT,BatteryHolder_Keystone_103_1x20mm,177.77,-120.165,270.0,bottom
C10,100 nF,C_0402_1005Metric,217.86,-114.6,90.0,top
C11,100 nF,C_0402_1005Metric,209.6,-112.23,90.0,top
C12,100 nF,C_0402_1005Metric,210.6,-137.54,-90.0,top
C13,100 nF,C_0402_1005Metric,217.03,-135.65,0.0,top
C14,100 nF,C_0402_1005Metric,193.674886,-117.223447,180.0,top
C15,1 uF,C_0402_1005Metric,193.674886,-118.548447,180.0,top
C16,1 uF,C_0402_1005Metric,235.5,-127.15,90.0,top
C17,1 uF,C_0402_1005Metric,245.39,-125.79,-90.0,top
C18,12 pF,C_0402_1005Metric,165.294886,-137.098447,0.0,top
C19,100 nF,C_0402_1005Metric,165.294886,-107.065114,180.0,top
C20,6.8 uF,C_0805_2012Metric,237.568636,-119.865114,90.0,top
C21,100 nF,C_0402_1005Metric,239.348948,-122.523447,180.0,top
C22,100 pF,C_0402_1005Metric,243.96,-123.46,180.0,top
C23,1 uF,C_0402_1005Metric,233.584261,-122.081781,0.0,top
C24,100 nF,C_0402_1005Metric,233.140823,-117.665114,180.0,top
C25,100 nF,C_0402_1005Metric,193.674886,-132.240114,180.0,top
C26,1 uF,C_0402_1005Metric,193.674886,-130.915114,180.0,top
C27,100 nF,C_0402_1005Metric,208.88,-138.93,0.0,top
C28,47 uF,C_1206_3216Metric,234.21,-120.09,180.0,top
C29,100 nF,C_0402_1005Metric,219.49,-128.1,0.0,top
C3,1 uF,C_0402_1005Metric,216.42,-137.98,90.0,top
C30,100 nF,C_0402_1005Metric,204.62,-112.23,90.0,top
C31,100 nF,C_0402_1005Metric,198.62,-112.22,90.0,top
C32,100 nF,C_0402_1005Metric,199.59,-137.41,0.0,top
C33,100 nF,C_0402_1005Metric,206.07,-137.41,0.0,top
C34,100 nF,C_0402_1005Metric,193.685,-129.895,0.0,top
C35,100 nF,C_0402_1005Metric,193.675,-124.105,0.0,top
C4,100 nF,C_0402_1005Metric,215.396761,-137.973447,90.0,top
C5,1 uF,C_0402_1005Metric,219.837698,-117.223447,180.0,top
C59,12 pF,C_0805_2012Metric,164.28245,-135.282133,0.0,top
C6,100 nF,C_0402_1005Metric,219.837698,-115.898447,180.0,top
C7,100 nF,C_0402_1005Metric,193.674886,-128.265114,0.0,top
