Designator,Mid X,Mid Y,Rotation,Layer
C1,157.997932,-145.5438,180.0,top
C10,159.921554,-153.7938,180.0,top
C11,163.768798,-157.9188,0.0,top
C12,159.921554,-156.2688,180.0,top
C2,154.774704,-150.8438,90.0,top
C3,155.32431,-147.5438,90.0,top
C4,155.249901,-153.2438,0.0,top
C5,161.570373,-147.7438,180.0,top
C6,163.988798,-127.6938,180.0,top
C7,161.51557,-124.9438,180.0,top
C8,151.202263,-128.2938,90.0,top
C9,162.469192,-155.5188,90.0,top
J1,177.5,-127.5,90.0,top
J2,138.0,-99.575,90.0,top
J3,151.5,-99.475,90.0,top
L1,163.963208,-139.0238,270.0,top
M1,129.506193,-134.915612,0.0,top
Q1,157.943129,-148.4688,90.0,top
R1,174.560531,-141.7688,270.0,top
R10,161.570373,-143.8938,0.0,top
R11,164.318405,-142.2438,0.0,top
R12,173.461318,-145.8938,90.0,top
R13,148.454231,-129.9438,270.0,top
R14,148.179428,-135.7188,90.0,top
R2,172.362106,-134.8938,270.0,top
R3,164.517864,-130.521134,180.0,top
R4,164.517864,-132.153534,180.0,top
R5,167.616043,-140.8688,180.0,top
R6,160.745964,-142.2438,0.0,top
R7,154.700294,-144.7188,0.0,top
R8,159.666357,-122.0438,270.0,top
R9,161.29557,-145.5438,0.0,top
SW1,153.248335,-122.6726,180.0,top
SW2,152.698728,-140.5476,180.0,top
U2,157.010685,-131.551907,270.0,top
U3,167.088011,-151.6588,90.0,top
U4,161.380767,-150.8238,270.0,top
