Designator,Footprint,Quantity,Value,LCSC Part #
C12,0805,1,22 uF,C45783
C2,0805,1,100nF,C28233
"C6, C8",1206,2,1 uF,
C7,0805,1,10 uF,C15850
D12,0805,1,3.3V LED,C98225
D4,0805,1,5V LED,C98225
F1,1206,1,500 mA,C135341
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0,C165948
J3,PinHeader_1x12_P2.54mm_Vertical,1,Conn_01x12_Pin,
J4,PinHeader_1x01_P2.54mm_Vertical,1,Conn_01x01_Pin,
"J5, J6, J8",PinHeader_1x02_P2.54mm_Vertical,3,Conn_01x02_Pin,C42431798
J7,PinHeader_1x06_P2.54mm_Vertical,1,Conn_01x06_Pin,
L1,IND_PA4332.222NLT,1,2.2 uH,C3222957
"R1, R5",0805,2,10k,C17414
R11,0805,1,100k,C149504
R12,0805,1,562kΩ,C2849274
R13,0805,1,180kΩ,C17501
R20,0805,1,150,C17471
R21,0805,1,330,C17630
"R3, R4",1206,2,4.7k,
"R6, R7",0805,2,5.1k,C27834
"R8, R9",0805,2,22,C17561
SW2,KH-6X6X5H-STM_SKE,1,EN,C2837531 
SW3,SLW-66527511-SMT-TR_CUD,1,SLW-66527511-SMT-TR,
U1,ESP32-S2-MINI-1,1,ESP32-S3-MINI-1,C2913206 
"U10, U11, U5, U6, U8, U9",HDSP-A151,6,HDSP-7501,
U12,SOIC-24W_7.5x15.4mm_P1.27mm,1,MAX7221xWG,
U2,Avago_APDS-9960,1,APDS-9960,
U3,SOT-143,1,PRTR5V0U2X,C2827688
U4,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm_ThermalVias,1,TPS62160DSG,C324077 
