Designator,Mid X,Mid Y,Rotation,Layer
C12,117.894481,-82.949327,90.0,top
C2,132.009013,-87.228821,0.0,top
C6,125.505888,-72.857344,270.0,top
C7,117.596825,-90.364939,90.0,top
C8,124.572294,-76.676965,180.0,top
D12,139.728075,-75.930236,180.0,top
D4,120.72991,-55.450085,0.0,top
F1,129.314794,-92.714686,0.0,top
J1,153.8,-97.8,0.0,top
J3,141.286513,-84.065825,90.0,top
J4,166.607138,-62.412239,270.0,top
J5,161.626356,-62.412239,90.0,top
J6,151.8137,-67.15823,270.0,top
J7,150.037606,-62.412239,90.0,top
J8,153.510263,-77.446585,0.0,top
L1,121.943388,-87.045319,180.0,top
R1,164.135888,-82.216205,0.0,top
R11,121.571044,-83.402703,0.0,top
R12,120.975731,-81.326332,0.0,top
R13,118.162138,-77.333462,90.0,top
R20,135.128544,-63.688737,90.0,top
R21,134.533231,-51.823758,90.0,top
R3,126.040575,-79.366585,0.0,top
R4,128.164794,-70.504349,90.0,top
R5,158.643388,-84.749074,270.0,top
R6,140.9187,-78.063462,0.0,top
R7,138.105106,-78.816585,90.0,top
R8,155.369169,-90.681564,90.0,top
R9,153.285575,-90.384939,90.0,top
SW2,165.940827,-86.737368,0.0,top
SW3,122.243631,-63.058431,90.0,top
U1,166.4,-72.4,270.0,top
U10,148.11,-37.94,0.0,top
U11,181.66,-37.94,0.0,top
U12,151.425888,-54.396121,0.0,top
U2,128.464794,-75.606965,270.0,top
U3,128.337137,-89.475066,180.0,top
U4,117.965127,-86.857144,90.0,top
U5,125.06,-37.94,0.0,top
U6,158.76,-38.03,0.0,top
U8,136.46,-37.89,0.0,top
U9,170.44,-38.18,0.0,top
