Comment,Designator,Footprint,LCSC,Quantity
Q_PMOS_GSD,Q1,SOT-23,C15127,1
35RASMT4BHNTRX,J8,35RASMT4BHNTRX,,1
ADS_DRDY,J3,PinHeader_1x01_P2.54mm_Vertical,,1
100 nF,C2,C_0402_1005Metric,,1
1 MOhm,R4,R_0402_1005Metric,,1
0 Ohm,R11,R_0402_1005Metric,,1
VIn,J6,PinHeader_1x02_P2.54mm_Vertical,,1
4.096 MHz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,,1
0 Ohm,R8,R_0402_1005Metric,,1
100 nF,C4,C_0402_1005Metric,,1
100k,R7,R_0402_1005Metric,,1
1 MOhm,R6,R_0402_1005Metric,,1
ADS_SYNCB,J5,PinHeader_1x01_P2.54mm_Vertical,,1
1 MOhm,R3,R_0402_1005Metric,,1
47 pF,C6,C_0402_1005Metric,,1
0 Ohm,R5,R_0402_1005Metric,,1
35RASMT4BHNTRX,J1,35RASMT4BHNTRX,,1
BZV55C10,D1,D_MiniMELF,,1
100 nF,C1,C_0402_1005Metric,,1
0 Ohm,R10,R_0402_1005Metric,,1
ADS1293CISQ_NOPB,IC1,QFN50P500X500X80-29N,,1
0 Ohm,R9,R_0402_1005Metric,,1
1 uF,C3,C_0402_1005Metric,,1
0 Ohm,R12,R_0402_1005Metric,,1
1 MOhm,R2,R_0402_1005Metric,,1
ADS_ALARMB,J4,PinHeader_1x01_P2.54mm_Vertical,,1
18 pf,C7,C_0402_1005Metric,,1
1 MOhm,R1,R_0402_1005Metric,,1
18 pf,C8,C_0402_1005Metric,,1
100k,R13,R_0402_1005Metric,,1
100 nF,C5,C_0402_1005Metric,,1
SPI,J2,PinHeader_1x04_P2.54mm_Vertical,,1
