Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100 nF,C_0402_1005Metric,167.736761,-113.324352,-90.0,top
C10,100 nF,C_0402_1005Metric,183.06,-123.3,90.0,top
C11,100 uF,CP_EIA-3216-18_Kemet-A,178.05,-115.3075,270.0,top
C2,100 nF,C_0402_1005Metric,166.562542,-113.324352,-90.0,top
C3,1 uF,C_0402_1005Metric,165.60348,-115.179495,0.0,top
C4,100 nF,C_0402_1005Metric,165.0,-113.64,180.0,top
C5,100 nF,C_0402_1005Metric,170.320042,-122.22359,-90.0,top
C6,47 pF,C_0402_1005Metric,173.68,-120.28,-90.0,top
C7,18 pf,C_0402_1005Metric,177.5,-109.07,-90.0,top
C8,18 pf,C_0402_1005Metric,162.89,-109.51,-90.0,top
C9,10 uF,C_0805_2012Metric,179.43,-111.07,180.0,top
D1,BZV55C10,D_MiniMELF,181.9375,-114.23,180.0,top
F1,500mA,Fuse_0805_2012Metric,180.92,-116.41,180.0,top
FB1,120 Ohm,R_0402_1005Metric,183.61,-115.92,180.0,top
IC1,ADS1293CISQ_NOPB,QFN50P500X500X80-29N,169.99,-117.735,0.0,top
IC2,GD5F1GQ5REYIGR,SON127P800X600X80-9N-D,177.89,-126.64,0.0,top
J1,35RASMT4BHNTRX,35RASMT4BHNTRX,148.85,-111.58,0.0,top
J2,SPI,PinHeader_1x05_P2.54mm_Vertical,186.43,-123.11,0.0,top
J6,VIn,PinHeader_1x02_P2.54mm_Vertical,181.1,-107.25,-90.0,top
J7,DESC,PinHeader_1x03_P2.54mm_Vertical,186.45,-111.82,0.0,top
J8,35RASMT4BHNTRX,35RASMT4BHNTRX,148.86,-123.91,0.0,top
JP1,IN6_J,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,160.05,-127.98,180.0,top
JP2,WCT_J,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,166.83,-122.23,180.0,top
Q1,Q_PMOS_GSD,SOT-23,182.91,-111.06,0.0,top
R1,1 MOhm,R_0402_1005Metric,172.48,-113.65,0.0,top
R10,0 Ohm,R_0402_1005Metric,159.2,-116.87,0.0,top
R11,0 Ohm,R_0402_1005Metric,159.79,-117.9,0.0,top
R12,0 Ohm,R_0402_1005Metric,159.47,-122.16,0.0,top
R13,100k,R_0402_1005Metric,180.21,-112.59,0.0,top
R14,10k,R_0402_1005Metric,172.22,-123.7,0.0,top
R15,10k,R_0402_1005Metric,172.23,-124.71,180.0,top
R2,1 MOhm,R_0402_1005Metric,173.72,-115.11,90.0,top
R3,1 MOhm,R_0402_1005Metric,174.48,-113.64,0.0,top
R4,1 MOhm,R_0402_1005Metric,171.43,-122.2,-90.0,top
R5,0 Ohm,R_0402_1005Metric,173.62,-122.21,90.0,top
R6,1 MOhm,R_0402_1005Metric,174.67,-120.3,-90.0,top
R7,100k,R_0402_1005Metric,172.51,-122.203622,-90.0,top
R8,0 Ohm,R_0402_1005Metric,159.4,-114.82,0.0,top
R9,0 Ohm,R_0402_1005Metric,159.03,-115.85,0.0,top
Y2,4.096 MHz,Crystal_SMD_HC49-SD,170.1775,-109.02,180.0,top
