pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
167.736761,-113.324352,-90.0,top,C1,,,C_0402_1005Metric,100 nF,smt
183.06,-123.3,90.0,top,C10,,,C_0402_1005Metric,100 nF,smt
181.9125,-115.56,0.0,top,C11,,,CP_EIA-3216-18_Kemet-A,100 uF,smt
166.562542,-113.324352,-90.0,top,C2,,,C_0402_1005Metric,100 nF,smt
165.60348,-115.179495,0.0,top,C3,,,C_0402_1005Metric,1 uF,smt
165.0,-113.64,180.0,top,C4,,,C_0402_1005Metric,100 nF,smt
170.320042,-122.22359,-90.0,top,C5,,,C_0402_1005Metric,100 nF,smt
173.68,-120.28,-90.0,top,C6,,,C_0402_1005Metric,47 pF,smt
177.5,-109.51,-90.0,top,C7,,,C_0402_1005Metric,18 pf,smt
162.89,-109.51,-90.0,top,C8,,,C_0402_1005Metric,18 pf,smt
181.285,-113.425,0.0,top,C9,,,C_0805_2012Metric,10 uF,smt
181.8575,-111.21,0.0,top,D1,,,D_MiniMELF,BZV55C10,smt
178.55,-114.2,-90.0,top,F1,,,Fuse_0805_2012Metric,500mA,smt
178.67,-111.52,-90.0,top,FB1,,,R_0402_1005Metric,120 Ohm,smt
169.99,-117.735,0.0,top,IC1,ADS1293CISQ/NOPB,,QFN50P500X500X80-29N,ADS1293CISQ_NOPB,smt
177.89,-126.64,0.0,top,IC2,GD5F1GQ5REYIGR,,SON127P800X600X80-9N-D,GD5F1GQ5REYIGR,smt
147.3,-111.58,0.0,top,J1,35RASMT4BHNTRX,,35RASMT4BHNTRX,35RASMT4BHNTRX,tht
186.42,-120.57,0.0,top,J2,,,PinHeader_1x04_P2.54mm_Vertical,SPI,tht
163.52,-128.17,90.0,top,J3,,,PinHeader_1x04_P2.54mm_Vertical,SPI_FLASH,tht
182.37,-107.25,-90.0,top,J6,,,PinHeader_1x02_P2.54mm_Vertical,VIn,tht
186.41,-111.835,0.0,top,J7,,,PinHeader_1x03_P2.54mm_Vertical,DESC,tht
147.31,-123.91,0.0,top,J8,35RASMT4BHNTRX,,35RASMT4BHNTRX,35RASMT4BHNTRX,tht
160.05,-127.98,180.0,top,JP1,,,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,IN6_J,tht
166.83,-122.23,180.0,top,JP2,,,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,WCT_J,tht
186.1375,-107.88,180.0,top,Q1,,,SOT-23,Q_PMOS_GSD,smt
172.48,-113.65,0.0,top,R1,,,R_0402_1005Metric,1 MOhm,smt
159.2,-116.87,0.0,top,R10,,,R_0402_1005Metric,0 Ohm,smt
159.79,-117.9,0.0,top,R11,,,R_0402_1005Metric,0 Ohm,smt
159.47,-122.16,0.0,top,R12,,,R_0402_1005Metric,0 Ohm,smt
183.24,-109.55,0.0,top,R13,,,R_0402_1005Metric,100k,smt
172.22,-123.7,0.0,top,R14,,,R_0402_1005Metric,10k,smt
172.23,-124.71,180.0,top,R15,,,R_0402_1005Metric,10k,smt
173.72,-115.11,90.0,top,R2,,,R_0402_1005Metric,1 MOhm,smt
174.48,-113.64,0.0,top,R3,,,R_0402_1005Metric,1 MOhm,smt
171.43,-122.2,-90.0,top,R4,,,R_0402_1005Metric,1 MOhm,smt
173.62,-122.21,90.0,top,R5,,,R_0402_1005Metric,0 Ohm,smt
174.67,-120.3,-90.0,top,R6,,,R_0402_1005Metric,1 MOhm,smt
172.51,-122.203622,-90.0,top,R7,,,R_0402_1005Metric,100k,smt
159.4,-114.82,0.0,top,R8,,,R_0402_1005Metric,0 Ohm,smt
159.03,-115.85,0.0,top,R9,,,R_0402_1005Metric,0 Ohm,smt
170.1775,-109.02,180.0,top,Y2,,,Crystal_SMD_HC49-SD,4.096 MHz,smt
