Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Description,KiLib_Generator,LCSC,Height,Mouser Part Number,Mouser Price/Stock,Manufacturer_Name
"C1, C10, C2, C4, C5",5,100 nF,C_0402_1005Metric,,,,smt,"Unpolarized capacitor, small symbol",SMD_2terminal_chip_molded,C1525,,,,
C11,1,100 uF,CP_EIA-3216-18_Kemet-A,,,,smt,"Polarized capacitor, small symbol",SMD_2terminal_chip_molded,,,,,
C3,1,1 uF,C_0402_1005Metric,,,,smt,"Unpolarized capacitor, small symbol",SMD_2terminal_chip_molded,C52923,,,,
C6,1,47 pF,C_0402_1005Metric,,,,smt,"Unpolarized capacitor, small symbol",SMD_2terminal_chip_molded,C1567,,,,
"C7, C8",2,18 pf,C_0402_1005Metric,,,,smt,"Unpolarized capacitor, small symbol",SMD_2terminal_chip_molded,,,,,
C9,1,10 uF,C_0805_2012Metric,,,,smt,"Unpolarized capacitor, small symbol",SMD_2terminal_chip_molded,,,,,
D1,1,BZV55C10,D_MiniMELF,,,,smt,"10V, 500mW, 5%, Zener diode, MiniMELF",,,,,,
F1,1,500mA,Fuse_0805_2012Metric,,,,smt,Fuse,SMD_2terminal_chip_molded,,,,,
FB1,1,120 Ohm,R_0402_1005Metric,,,,smt,"Ferrite bead, small symbol",SMD_2terminal_chip_molded,,,,,
IC1,1,ADS1293CISQ_NOPB,QFN50P500X500X80-29N,,ADS1293CISQ/NOPB,,smt,Complete Low Power Integrated Analog Front End for ECG Applications,,C181260,0.8,595-ADS1293CISQNPB,https://www.mouser.co.uk/ProductDetail/Texas-Instruments/ADS1293CISQ-NOPB?qs=T1E5mKGHTGU%252BPPjLAyc6NA%3D%3D,Texas Instruments
IC2,1,GD5F1GQ5REYIGR,SON127P800X600X80-9N-D,,GD5F1GQ5REYIGR,,smt,WSON-8(8x6) NAND FLASH ROHS,,C2927042,0.8,,,GigaDevice Semiconductor (HK) Limited
"J1, J8",2,35RASMT4BHNTRX,35RASMT4BHNTRX,,35RASMT4BHNTRX,,tht,Phone Connectors SMT 3.5MM PHONE JACK,,,5.127,502-35RASMT4BHNTRX,https://www.mouser.co.uk/ProductDetail/Switchcraft/35RASMT4BHNTRX?qs=iwvYsH9bSFa%252BoLnvLbECxQ%3D%3D,Switchcraft
J2,1,SPI,PinHeader_1x05_P2.54mm_Vertical,,,,tht,"Generic connector, single row, 01x05, script generated",connector/pin_header_socket,C42431835,,,,
J6,1,VIn,PinHeader_1x02_P2.54mm_Vertical,,,,tht,"Generic connector, single row, 01x02, script generated",connector/pin_header_socket,C32713268,,,,
J7,1,DESC,PinHeader_1x03_P2.54mm_Vertical,,,,tht,"Generic connector, single row, 01x03, script generated",connector/pin_header_socket,C49257,,,,
Q1,1,Q_PMOS_GSD,SOT-23,,,,smt,"P-MOSFET transistor, gate/source/drain",package/gullwing,C15127,,,,
"R1, R2, R3, R4, R6",5,1 MOhm,R_0402_1005Metric,,,,smt,"Resistor, small symbol",SMD_2terminal_chip_molded,C26083,,,,
"R10, R11, R12, R5, R8, R9",6,0 Ohm,R_0402_1005Metric,,,,smt,"Resistor, small symbol",SMD_2terminal_chip_molded,C17168,,,,
"R13, R7",2,100k,R_0402_1005Metric,,,,smt,"Resistor, small symbol",SMD_2terminal_chip_molded,C25741,,,,
"R14, R15",2,10k,R_0402_1005Metric,,,,smt,"Resistor, small symbol",SMD_2terminal_chip_molded,C25744,,,,
Y2,1,4.096 MHz,Crystal_SMD_HC49-SD,,,,smt,Two pin crystal,crystal_resonator_oscillator,C74858,,,,
