Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C2, C4, C5",0402,5,100 nF,C1525
C11,CP_EIA-3216-18_Kemet-A,1,100 uF,
C3,0402,1,1 uF,C52923
C6,0402,1,47 pF,C1567
"C7, C8",0402,2,18 pf,
C9,0805,1,10 uF,
D1,D_MiniMELF,1,BZV55C10,
F1,0805,1,500mA,
FB1,0402,1,120 Ohm,
IC1,QFN50P500X500X80-29N,1,ADS1293CISQ_NOPB,C181260
IC2,SON127P800X600X80-9N-D,1,GD5F1GQ5REYIGR,C2927042
"J1, J8",35RASMT4BHNTRX,2,35RASMT4BHNTRX,
J2,PinHeader_1x05_P2.54mm_Vertical,1,SPI,
J6,PinHeader_1x02_P2.54mm_Vertical,1,VIn,C32713268
J7,PinHeader_1x03_P2.54mm_Vertical,1,DESC,C49257
Q1,SOT-23,1,Q_PMOS_GSD,C15127
"R1, R2, R3, R4, R6",0402,5,1 MOhm,C26083
"R10, R11, R12, R5, R8, R9",0402,6,0 Ohm,C17168
R13,0402,1,100k,
"R14, R15",0402,2,10k,C25744
R7,0402,1,100k,C25741
Y2,Crystal_SMD_HC49-SD,1,4.096 MHz,C74858
