Designator,Mid X,Mid Y,Rotation,Layer
C1,167.736761,-113.324352,270.0,top
C10,183.06,-123.3,90.0,top
C11,178.05,-115.3075,270.0,top
C2,166.562542,-113.324352,270.0,top
C3,165.60348,-115.179495,0.0,top
C4,165.0,-113.64,180.0,top
C5,170.320042,-122.22359,270.0,top
C6,173.68,-120.28,270.0,top
C7,177.5,-109.07,270.0,top
C8,162.89,-109.51,270.0,top
C9,179.43,-111.07,180.0,top
D1,181.9375,-114.23,180.0,top
F1,180.92,-116.41,180.0,top
FB1,183.61,-115.92,180.0,top
IC1,169.99,-117.735,0.0,top
IC2,177.89,-126.64,0.0,top
J1,148.85,-111.58,0.0,top
J2,186.43,-123.11,0.0,top
J6,181.1,-107.25,270.0,top
J7,186.45,-111.82,0.0,top
J8,148.86,-123.91,0.0,top
JP1,160.05,-127.98,180.0,top
JP2,166.83,-122.23,180.0,top
Q1,182.91,-111.06,270.0,top
R1,172.48,-113.65,0.0,top
R10,159.2,-116.87,0.0,top
R11,159.79,-117.9,0.0,top
R12,159.47,-122.16,0.0,top
R13,180.21,-112.59,0.0,top
R14,172.22,-123.7,0.0,top
R15,172.23,-124.71,180.0,top
R2,173.72,-115.11,90.0,top
R3,174.48,-113.64,0.0,top
R4,171.43,-122.2,270.0,top
R5,173.62,-122.21,90.0,top
R6,174.67,-120.3,270.0,top
R7,172.51,-122.203622,270.0,top
R8,159.4,-114.82,0.0,top
R9,159.03,-115.85,0.0,top
Y2,170.1775,-109.02,180.0,top
