Comment,Designator,Footprint,LCSC,Quantity
1 uF,"C1,C26,C27,C3,C5,C7",C_0603_1608Metric,C15849,6
10 uF,C24,C_0805_2012Metric,C15850,1
10 uF,"C11,C15,C16",C_0603_1608Metric,C19702,3
100 nF,"C12,C13,C14,C17,C18,C19,C2,C20,C21,C4,C6,C8",C_0603_1608Metric,C14663,12
100 uF,C25,CP_EIA-3216-18_Kemet-A,C27279,1
100k,R13,R_0402_1005Metric,C25741,1
10k,"R1,R4,R8",R_0603_1608Metric,C25804,3
120 Ohm,FB1,R_0402_1005Metric,C88970,1
150 pF,"C33,C34,C41,C42",C_0603_1608Metric,C1594,4
18k,R2,R_0603_1608Metric,C25810,1
24LC64,U2,SOIC-8_3.9x4.9mm_P1.27mm,C5460,1
3.3 nF,"C38,C39,C46,C47,C9",C_0603_1608Metric,C1613,5
4.75k,"R16,R17,R18,R19,R24,R25,R26,R27",R_0603_1608Metric,C25972,8
4.7k,"R6,R7",R_0603_1608Metric,C23162,2
47 uF,"C22,C23,C36,C37,C44,C45",CP_Elec_6.3x5.4,C72521,6
470 pF,"C32,C35,C40,C43",C_0603_1608Metric,C1620,4
475,R3,R_0603_1608Metric,C23181,1
49.9k,"R22,R23,R30,R31",R_0603_1608Metric,C23184,4
500mA,F1,Fuse_0805_2012Metric,C20976,1
56 nF,C10,C_0603_1608Metric,C1629,1
5PB1108PGxx,U3,TSSOP-16_4.4x5mm_P0.65mm,C5906956,1
604,"R20,R21,R28,R29",R_0603_1608Metric,C32183,4
AD8606ARZ,"U5,U6",SOIC-8_3.9x4.9mm_P1.27mm,C48997983,2
ADAU1701,U1,LQFP-48_7x7mm_P0.5mm,C389590,1
ASV-24.576MHz,Y1,Oscillator_SMD_Abracon_ASV-4Pin_7.0x5.1mm,C1988904,1
BSS83P,Q2,SOT-23,C2932927,1
BZV55C10,D1,D_MiniMELF,C2892588,1
LD1117S18TR_SOT223,U4,SOT-223-3_TabPin2,C80598,1
RST,SW2,KH-6X6X5H-STM_SKE,C2837531,1
Jumper_2_Open,JP1,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,,1
CTRL,J6,PinHeader_1x03_P2.54mm_Vertical,,1
MCLKx,J5,PinHeader_1x07_P2.54mm_Vertical,,1
VOUTx,J4,PinHeader_1x04_P2.54mm_Vertical,,1
ADCx,J3,PinHeader_1x02_P2.54mm_Vertical,,1
MPx,J2,PinHeader_1x12_P2.54mm_Vertical,,1
I2C,J1,PinHeader_1x02_P2.54mm_Vertical,,1
VIn,J8,PinHeader_1x02_P2.54mm_Vertical,,1
