Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1 uF,C_0603_1608Metric,132.94,-42.04,90.0,top
C10,56 nF,C_0603_1608Metric,126.64,-42.135,-90.0,top
C11,10 uF,C_0603_1608Metric,122.635,-43.39,180.0,top
C12,100 nF,C_0603_1608Metric,98.505,-62.5,0.0,top
C13,100 nF,C_0603_1608Metric,122.65,-44.93,180.0,top
C14,100 nF,C_0603_1608Metric,129.8,-41.27,90.0,top
C15,10 uF,C_0603_1608Metric,131.14,-41.245,90.0,top
C16,10 uF,C_0603_1608Metric,136.03,-41.14,90.0,top
C17,100 nF,C_0603_1608Metric,137.54,-41.14,90.0,top
C18,100 nF,C_0603_1608Metric,133.19,-60.49,-90.0,top
C19,100 nF,C_0603_1608Metric,155.51,-68.14,90.0,top
C2,100 nF,C_0603_1608Metric,134.47,-43.68,90.0,top
C20,100 nF,C_0603_1608Metric,157.06,-68.135,90.0,top
C21,100 nF,C_0603_1608Metric,145.05,-61.61,0.0,top
C22,47 uF,CP_Elec_6.3x5.4,117.33,-47.69,180.0,top
C23,47 uF,CP_Elec_6.3x5.4,117.33,-54.9,180.0,top
C24,10 uF,C_0805_2012Metric,101.89,-30.95,0.0,top
C25,100 uF,CP_EIA-3216-18_Kemet-A,103.9625,-33.12,180.0,top
C26,1 uF,C_0603_1608Metric,111.2,-35.755,-90.0,top
C27,1 uF,C_0603_1608Metric,121.62,-32.8,90.0,top
C3,1 uF,C_0603_1608Metric,135.96,-50.84,-90.0,top
C32,470 pF,C_0603_1608Metric,142.89,-48.44,0.0,top
C33,150 pF,C_0603_1608Metric,142.88,-54.34,90.0,top
C34,150 pF,C_0603_1608Metric,144.52,-54.35,90.0,top
C35,470 pF,C_0603_1608Metric,140.42,-53.5,0.0,top
C36,47 uF,CP_Elec_6.3x5.4,157.96,-55.08,0.0,top
C37,47 uF,CP_Elec_6.3x5.4,157.96,-47.88,0.0,top
C38,3.3 nF,C_0603_1608Metric,164.61,-33.23,-90.0,top
C39,3.3 nF,C_0603_1608Metric,166.16,-33.23,-90.0,top
C4,100 nF,C_0603_1608Metric,137.375,-53.5,0.0,top
C40,470 pF,C_0603_1608Metric,139.78,-47.57,0.0,top
C41,150 pF,C_0603_1608Metric,142.47,-41.16,-90.0,top
C42,150 pF,C_0603_1608Metric,144.12,-41.16,-90.0,top
C43,470 pF,C_0603_1608Metric,139.79,-42.51,0.0,top
C44,47 uF,CP_Elec_6.3x5.4,157.98,-40.69,0.0,top
C45,47 uF,CP_Elec_6.3x5.4,157.97,-33.53,0.0,top
C46,3.3 nF,C_0603_1608Metric,167.7,-33.235,-90.0,top
C47,3.3 nF,C_0603_1608Metric,169.23,-33.23,-90.0,top
C5,1 uF,C_0603_1608Metric,129.81,-56.92,-90.0,top
C6,100 nF,C_0603_1608Metric,131.34,-56.92,-90.0,top
C7,1 uF,C_0603_1608Metric,125.48,-54.585,-90.0,top
C8,100 nF,C_0603_1608Metric,127.0,-56.58,-90.0,top
C9,3.3 nF,C_0603_1608Metric,128.24,-42.13,-90.0,top
D1,BZV55C10,D_MiniMELF,96.88,-34.44,0.0,top
F1,500mA,Fuse_0805_2012Metric,101.9,-35.27,0.0,top
FB1,120 Ohm,R_0402_1005Metric,100.96,-32.95,-90.0,top
J1,I2C,PinHeader_1x02_P2.54mm_Vertical,91.85,-40.06,0.0,top
J2,MPx,PinHeader_1x12_P2.54mm_Vertical,129.99,-68.25,90.0,top
J3,ADCx,PinHeader_1x02_P2.54mm_Vertical,91.84,-47.41,0.0,top
J4,VOUTx,PinHeader_1x04_P2.54mm_Vertical,168.27,-44.26,180.0,top
J5,MCLKx,PinHeader_1x07_P2.54mm_Vertical,168.28,-60.61,180.0,top
J6,CTRL,PinHeader_1x03_P2.54mm_Vertical,91.84,-56.01,0.0,top
J8,VIn,PinHeader_1x02_P2.54mm_Vertical,91.84,-32.785,0.0,top
JP1,Jumper_2_Open,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,123.43,-54.43,90.0,top
Q2,BSS83P,SOT-23,97.67,-31.54,90.0,top
R1,10k,R_0603_1608Metric,122.91,-57.675,90.0,top
R13,100k,R_0402_1005Metric,98.12,-36.13,0.0,top
R16,4.75k,R_0603_1608Metric,138.61,-50.01,0.0,top
R17,4.75k,R_0603_1608Metric,138.62,-51.98,0.0,top
R18,4.75k,R_0603_1608Metric,142.575,-50.0,0.0,top
R19,4.75k,R_0603_1608Metric,142.6,-51.95,0.0,top
R2,18k,R_0603_1608Metric,123.38,-47.29,-90.0,top
R20,604,R_0603_1608Metric,164.42,-48.1,0.0,top
R21,604,R_0603_1608Metric,164.41,-45.54,0.0,top
R22,49.9k,R_0603_1608Metric,164.61,-36.315,-90.0,top
R23,49.9k,R_0603_1608Metric,166.17,-36.315,-90.0,top
R24,4.75k,R_0603_1608Metric,138.6,-45.99,0.0,top
R25,4.75k,R_0603_1608Metric,138.595,-44.09,0.0,top
R26,4.75k,R_0603_1608Metric,142.63,-45.98,0.0,top
R27,4.75k,R_0603_1608Metric,142.625,-44.21,0.0,top
R28,604,R_0603_1608Metric,164.45,-43.02,0.0,top
R29,604,R_0603_1608Metric,164.44,-40.5,0.0,top
R3,475,R_0603_1608Metric,127.47,-39.74,0.0,top
R30,49.9k,R_0603_1608Metric,167.71,-36.32,-90.0,top
R31,49.9k,R_0603_1608Metric,169.26,-36.32,-90.0,top
R4,10k,R_0603_1608Metric,100.82,-62.005,-90.0,top
R6,4.7k,R_0603_1608Metric,135.08,-55.205,-90.0,top
R7,4.7k,R_0603_1608Metric,137.375,-55.93,180.0,top
R8,10k,R_0603_1608Metric,92.64,-61.21,180.0,top
SW2,RST,KH-6X6X5H-STM_SKE,96.28,-66.63,0.0,top
U1,ADAU1701,LQFP-48_7x7mm_P0.5mm,130.055,-49.88,270.0,top
U2,24LC64,SOIC-8_3.9x4.9mm_P1.27mm,137.75,-59.6,90.0,top
U3,5PB1108PGxx,TSSOP-16_4.4x5mm_P0.65mm,159.2,-63.86,270.0,top
U4,LD1117S18TR_SOT223,SOT-223-3_TabPin2,116.4,-33.6075,180.0,top
U5,AD8606ARZ,SOIC-8_3.9x4.9mm_P1.27mm,148.61,-50.2,270.0,top
U6,AD8606ARZ,SOIC-8_3.9x4.9mm_P1.27mm,148.61,-44.74,270.0,top
Y1,ASV-24.576MHz,Oscillator_SMD_Abracon_ASV-4Pin_7.0x5.1mm,150.66,-63.6175,0.0,top
