Designator,Mid X,Mid Y,Rotation,Layer
C1,187.958231,-115.36164,0.0,top
C10,213.332841,-94.120795,180.0,top
C11,189.893583,-93.048025,0.0,top
C2,191.613895,-103.346617,0.0,top
C20,199.50452,-87.597039,0.0,top
C21,187.958231,-90.902485,180.0,top
C22,187.958231,-102.917509,0.0,top
C23,200.149638,-98.324739,0.0,top
C24,188.603348,-113.2161,180.0,top
C25,200.794755,-108.408777,0.0,top
C26,194.119481,-115.928964,270.0,top
C27,199.934598,-119.780138,0.0,top
C3,192.829247,-92.328025,90.0,top
C4,187.958231,-81.033002,0.0,top
C5,217.203544,-94.120795,180.0,top
C6,191.613895,-81.033002,180.0,top
C7,213.903075,-89.753377,90.0,top
C8,211.752684,-89.109715,90.0,top
C9,210.967411,-91.975255,180.0,top
D12,218.258739,-101.60333,180.0,top
F1,216.063231,-104.054833,180.0,top
J1,180.1,-107.84,270.0,top
J12,180.1,-119.24,270.0,top
J2,180.1,-96.46,270.0,top
J3,180.1,-85.06,270.0,top
J4,224.36,-119.8,0.0,top
J5,228.15,-90.09,0.0,top
J6,228.35,-107.87,0.0,top
Q2,214.430284,-118.292468,180.0,top
R1,220.194091,-98.870983,0.0,top
R2,221.054247,-94.150795,180.0,top
R4,223.634716,-83.423096,0.0,top
R6,223.979911,-91.275255,90.0,top
U1,190.440031,-120.306384,0.0,top
U2,190.65507,-108.291361,0.0,top
U3,190.870109,-97.992769,0.0,top
U4,190.224992,-85.977746,0.0,top
U5,218.798427,-89.355255,90.0,top
