Designator,Mid X,Mid Y,Rotation,Layer
C10,201.436669,-69.997432,270.0,top
C11,199.62495,-66.385492,90.0,top
C12,210.309403,-74.931362,0.0,top
C2,179.696044,-56.753651,90.0,top
C5,201.738622,-66.385492,90.0,top
C6,202.040575,-62.773551,90.0,top
C7,205.664013,-73.308377,270.0,top
C8,204.154247,-78.726288,90.0,top
C9,203.550341,-70.900417,270.0,top
D12,199.047898,-70.868582,90.0,top
D4,197.23618,-60.333756,90.0,top
F1,179.788231,-63.644546,0.0,top
J1,223.75,-107.5,0.0,top
J10,215.94,-51.5,90.0,top
J11,206.98,-51.5,90.0,top
J12,236.46,-105.1,0.0,top
J2,236.9725,-55.655,90.0,top
J3,236.9725,-67.155,90.0,top
J4,236.9725,-78.655,90.0,top
J5,236.9725,-90.155,90.0,top
J6,166.75,-69.42,0.0,top
J7,185.56,-51.5,90.0,top
J8,166.75,-94.23,0.0,top
L1,209.751591,-68.444447,270.0,top
Q2,208.3911,-84.276128,90.0,top
R1,178.156278,-77.241312,270.0,top
R11,212.101122,-77.068327,0.0,top
R12,212.101122,-72.553402,0.0,top
R13,208.477684,-77.068327,180.0,top
R2,204.4262,-57.676636,90.0,top
R20,193.681981,-70.145442,0.0,top
R21,211.799169,-57.202656,0.0,top
R3,209.383544,-59.911611,180.0,top
R4,206.539872,-57.375641,90.0,top
R5,184.497294,-75.736337,90.0,top
R6,216.504325,-72.726387,90.0,top
R7,217.410184,-66.706487,270.0,top
R8,225.260966,-99.514944,90.0,top
R9,223.147294,-100.116934,90.0,top
SW2,180.04864,-82.592998,0.0,top
SW3,166.5034,-104.75,270.0,top
U1,205.002294,-66.518477,90.0,top
U2,194.95,-85.05,180.0,top
U3,178.806278,-60.365591,180.0,top
U4,224.99,-60.5,180.0,top
U5,208.445986,-72.253402,0.0,top
U6,224.99,-85.34,0.0,top
