Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1000pF,C_0603_1608Metric,170.458059,-113.783403,0.0,top
C10,100nF,C_0603_1608Metric,181.063216,-120.213748,0.0,top
C11,100nF,C_0603_1608Metric,181.754856,-123.888231,0.0,top
C12,1uF,C_0603_1608Metric,180.832669,-117.917197,0.0,top
C13,100nF,C_0603_1608Metric,169.477513,-120.382369,-90.0,top
C14,100nF,C_0603_1608Metric,179.852122,-115.329955,90.0,top
C2,1uF,C_0603_1608Metric,170.227513,-117.687541,0.0,top
C3,1uF,C_0603_1608Metric,170.227513,-123.888231,0.0,top
C4,18pF,C_0603_1608Metric,172.532981,-115.8503,180.0,top
C5,18pF,C_0603_1608Metric,176.913372,-112.864783,180.0,top
C6,1uF,C_0603_1608Metric,172.071888,-119.524783,0.0,top
C7,1uF,C_0603_1608Metric,179.160481,-124.745817,90.0,top
C8,100nF,C_0603_1608Metric,181.063216,-122.05099,180.0,top
C9,1uF,C_0603_1608Metric,172.071888,-122.05099,180.0,top
J3,USB_C_Receptacle_USB2.0_16P,USB_C_Receptacle_HRO_TYPE-C-31-M-12,195.285,-119.99,270.0,top
L1,HR641680E,C189555_XFMR-SMD_HR641680E,162.54,-120.655,90.0,top
R1,75,R_0603_1608Metric,156.797434,-113.722369,-90.0,top
R10,5.1k,R_0603_1608Metric,190.041731,-118.535128,90.0,top
R11,22,R_0603_1608Metric,174.638969,-125.438183,-90.0,top
R12,22,R_0603_1608Metric,176.479969,-125.438183,-90.0,top
R13,1k,R_0603_1608Metric,163.311106,-111.946162,180.0,top
R14,1k,R_0603_1608Metric,164.233294,-128.481334,180.0,top
R2,75,R_0603_1608Metric,159.391809,-113.094438,180.0,top
R3,75,R_0603_1608Metric,158.700169,-128.251679,180.0,top
R4,75,R_0603_1608Metric,168.844231,-111.946162,0.0,top
R9,5.1k,R_0603_1608Metric,189.835,-121.29,0.0,top
RJ1,HC-WK88-H16-DB,C7501824_RJ45-TH_HC-WK88-H16-DB,149.52,-119.98,-90.0,top
U1,CH397A,C7465328_QFN-24_L4_0-W4_0-P0_50-BL-EP2_8,176.642406,-120.29,180.0,top
Y1,25 MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,176.618051,-115.728975,0.0,top
