Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0603_1608Metric,208.048973,-125.726089,-90.0,top
C10,4.7 uF,C_0805_2012Metric,212.284325,-116.557294,-90.0,top
C11,100 nF,C_0603_1608Metric,213.121239,-107.828499,-90.0,top
C12,100 nF,C_0603_1608Metric,218.555809,-126.441993,90.0,top
C13,1 uF,C_0603_1608Metric,210.222802,-106.396692,-90.0,top
C14,100 nF,C_0603_1608Metric,215.3,-104.606933,-90.0,top
C15,100 nF,C_0603_1608Metric,225.84,-122.155,90.0,top
C16,100 nF,C_0603_1608Metric,221.454247,-126.799945,90.0,top
C17,100 nF,C_0603_1608Metric,227.613427,-122.146571,90.0,top
C18,100 nF,C_0603_1608Metric,221.816552,-104.964884,-90.0,top
C19,10 uF,C_0805_2012Metric,221.704247,-109.398258,-90.0,top
C2,100nF,C_0603_1608Metric,215.002077,-121.583071,90.0,top
C20,100 nF,C_0603_1608Metric,224.714989,-126.441993,90.0,top
C21,100 nF,C_0603_1608Metric,212.059716,-126.834041,0.0,top
C22,4.7 uF,C_0805_2012Metric,221.704247,-122.284523,90.0,top
C23,100 nF,C_0603_1608Metric,224.18,-122.28,90.0,top
C3,100nF,C_0603_1608Metric,217.741477,-121.583071,90.0,top
C4,18pF,C_0603_1608Metric,218.918114,-104.606933,-90.0,top
C5,18pF,C_0603_1608Metric,217.32,-104.6,-90.0,top
C6,10 uF,C_0603_1608Metric,212.034325,-112.12392,-90.0,top
C7,100 nF,C_0603_1608Metric,224.714989,-109.618258,-90.0,top
C8,100 nF,C_0603_1608Metric,211.309716,-123.220427,90.0,top
C9,100 nF,C_0603_1608Metric,215.657372,-126.441993,90.0,top
D1,LED,LED_0805_2012Metric,231.46,-116.74,90.0,top
L1,VSW,C47327201_IND-SMD_L7_7-W6_6_APS0630,226.069407,-115.809347,0.0,top
R1,75,R_0603_1608Metric,197.49,-107.655,90.0,top
R2,75,R_0603_1608Metric,199.06,-107.66,90.0,top
R3,75,R_0603_1608Metric,197.42,-122.53,-90.0,top
R4,75,R_0603_1608Metric,199.02,-122.53,-90.0,top
R5,510,R_0603_1608Metric,184.46,-124.21,180.0,top
R6,510,R_0603_1608Metric,184.465,-105.8,180.0,top
R7,510,R_0603_1608Metric,231.44,-113.49,90.0,top
R8,2.49k 1%,R_0603_1608Metric,214.48,-111.095,90.0,top
RJ1,HC-WK88-H16-DB,C7501824_RJ45-TH_HC-WK88-H16-DB,179.76,-114.95,-90.0,top
U1,HR682430E,C3020103_SMD-24_L15_1-W7_1-P1_00-LS10_0-BL,203.6,-115.08,90.0,top
U2,CH398X5,C55013891_VQFN-40_L5_0-W5_0-P0_40-TL-EP3_5,217.6,-115.275,0.0,top
U3,HC-USB3.0-L168-WP,C7501850_USB-TH_USB3_0-A,255.175,-114.01,90.0,top
Y1,25 MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,217.396542,-109.328313,0.0,top
