Comment,Designator,Footprint,LCSC,Quantity
100,Re1,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,1
Out,J3,WJ500V-5.08-2P,,1
1k,Rb1,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,1
2.2,Rstr2,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,1
1N4148,D1,D_DO-35_SOD27_P7.62mm_Horizontal,,1
15k,Rdiv2,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,1
Vin,J1,WJ500V-5.08-2P,,1
68,Rb2,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,1
3.3k,Rfb1,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,1
BD139,Q3,TO-126-3_Vertical,,1
BD140,Q2,TO-126-3_Vertical,,1
1 uF,C6,CP_Radial_D5.0mm_P2.00mm,,1
100k,Rdiv1,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,1
Vin,J2,WJ500V-5.08-2P,,1
BD139,Q1,TO-126-3_Vertical,,1
1000 uF,C7,CP_Radial_D10.0mm_P7.50mm,,1
1N4148,D2,D_DO-35_SOD27_P7.62mm_Horizontal,,1
2.2,Rstr1,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,1
