Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C6,1 uF,CP_Radial_D5.0mm_P2.00mm,174.46,-140.84,0.0,top
C7,1000 uF,CP_Radial_D10.0mm_P7.50mm,234.19,-154.147677,90.0,top
D1,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,200.06,-155.23,180.0,top
D2,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,200.05,-157.87,0.0,top
J1,Vin,WJ500V-5.08-2P,166.04,-143.39,-90.0,top
J2,Vin,WJ500V-5.08-2P,166.0,-154.53,-90.0,top
J3,Out,WJ500V-5.08-2P,234.19,-143.3,90.0,top
Q1,BD139,TO-126-3_Vertical,182.92,-140.055,0.0,top
Q2,BD140,TO-126-3_Vertical,200.66,-140.055,0.0,top
Q3,BD139,TO-126-3_Vertical,219.86,-140.025,0.0,top
Rb1,1k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,188.86,-143.98,90.0,top
Rb2,68,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,203.37,-147.76,90.0,top
Rdiv1,100k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,177.25,-151.94,0.0,top
Rdiv2,15k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,177.25,-155.03,180.0,top
Re1,100,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,222.62,-153.33,0.0,top
Rfb1,3.3k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,222.62,-150.22,0.0,top
Rstr1,2.2,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,177.28,-145.32,0.0,top
Rstr2,2.2,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,177.33,-148.47,180.0,top
