Comment,Designator,Footprint,LCSC,Quantity
1 uF,"C11,C12,C15,C17,C19,C3,C5,C7,C9",C_0603_1608Metric,C15849,9
10,R1,R_0603_1608Metric,C22859,1
100 nF,"C1,C10,C14,C16,C18,C2,C4,C6,C8",C_0603_1608Metric,C14663,9
100k,R2,R_0603_1608Metric,C25803,1
120 Ohm,FB1,R_0603_1608Metric,C14709,1
22 uF,C13,C_0805_2012Metric,C45783,1
ADR4525,U1,SOIC-8_3.9x4.9mm_P1.27mm,C403698,1
AO3401A,Q1,SOT-23,C15127,1
BZV55B9V1,D1,D_MiniMELF,C49296782,1
JY32254.9152MNBCZ,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C54620083,1
MCP1825S,"U3,U4",SOT-223-3_TabPin2,C145411,2
MCP3564-E_ST,IC1,SOP65P640X120-20N,C1012816,1
PTVS5V0Z1USK,D2,Nexperia_DSN1608-2_1.6x0.8mm,C553448,1
VIN,J3,PinHeader_1x02_P2.54mm_Vertical,,1
ADCx,J1,PinHeader_1x08_P2.54mm_Vertical,,1
SPI,J2,PinHeader_1x05_P2.54mm_Vertical,,1
VRef,J4,PinHeader_1x02_P2.54mm_Vertical,,1
