Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100 nF,C_0603_1608Metric,157.355,-104.25,-90.0,top
C10,100 nF,C_0603_1608Metric,148.165,-103.0,90.0,top
C11,1 uF,C_0603_1608Metric,148.165,-106.12,-90.0,top
C12,1 uF,C_0603_1608Metric,161.235,-107.48,0.0,top
C13,22 uF,C_0805_2012Metric,160.33,-97.615,0.0,top
C14,100 nF,C_0603_1608Metric,160.2,-94.125,180.0,top
C15,1 uF,C_0603_1608Metric,158.915,-104.24,90.0,top
C16,100 nF,C_0603_1608Metric,147.37,-108.41,0.0,top
C17,1 uF,C_0603_1608Metric,150.755,-108.15,180.0,top
C18,100 nF,C_0603_1608Metric,153.845,-108.15,0.0,top
C19,1 uF,C_0603_1608Metric,157.245,-107.64,180.0,top
C2,100 nF,C_0603_1608Metric,161.41,-114.32,0.0,top
C3,1 uF,C_0603_1608Metric,161.435,-115.86,0.0,top
C4,100 nF,C_0603_1608Metric,162.605,-110.485,90.0,top
C5,1 uF,C_0603_1608Metric,161.395,-112.78,180.0,top
C6,100 nF,C_0603_1608Metric,162.565,-101.475,-90.0,top
C7,1 uF,C_0603_1608Metric,160.945,-101.465,-90.0,top
C8,100 nF,C_0603_1608Metric,161.23,-105.93,0.0,top
C9,1 uF,C_0603_1608Metric,161.22,-104.32,0.0,top
D1,BZV55B9V1,D_MiniMELF,163.11,-93.8275,90.0,top
D2,PTVS5V0Z1USK,Nexperia_DSN1608-2_1.6x0.8mm,165.08,-97.08,-90.0,top
FB1,120 Ohm,R_0603_1608Metric,160.195,-95.685,180.0,top
IC1,MCP3564-E_ST,SOP65P640X120-20N,153.195509,-112.565518,0.0,top
J1,ADCx,PinHeader_1x08_P2.54mm_Vertical,141.8,-113.97,0.0,top
J2,SPI,PinHeader_1x05_P2.54mm_Vertical,165.96,-124.46,-90.0,top
J3,VIN,PinHeader_1x02_P2.54mm_Vertical,171.0,-92.955,0.0,top
J4,VRef,PinHeader_1x02_P2.54mm_Vertical,141.8,-99.025,0.0,top
Q1,AO3401A,SOT-23,166.4425,-94.22,270.0,top
R1,10,R_0603_1608Metric,146.455,-106.16,-90.0,top
R2,100k,R_0603_1608Metric,166.345,-91.63,180.0,top
U1,ADR4525,SOIC-8_3.9x4.9mm_P1.27mm,152.675,-104.3825,90.0,top
U3,MCP1825S,SOT-223-3_TabPin2,167.835,-112.01,180.0,top
U4,MCP1825S,SOT-223-3_TabPin2,167.805,-104.57,180.0,top
Y1,JY32254.9152MNBCZ,Crystal_SMD_3225-4Pin_3.2x2.5mm,159.325,-110.21,180.0,top
