pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
157.355,-104.25,-90.0,top,C1,,,C_0603_1608Metric,100 nF,smt
148.165,-103.0,90.0,top,C10,,,C_0603_1608Metric,100 nF,smt
148.165,-106.12,-90.0,top,C11,,,C_0603_1608Metric,1 uF,smt
161.235,-107.48,0.0,top,C12,,,C_0603_1608Metric,1 uF,smt
160.33,-97.615,0.0,top,C13,,,C_0805_2012Metric,22 uF,smt
160.2,-94.125,180.0,top,C14,,,C_0603_1608Metric,100 nF,smt
158.915,-104.24,90.0,top,C15,,,C_0603_1608Metric,1 uF,smt
147.37,-108.41,0.0,top,C16,,,C_0603_1608Metric,100 nF,smt
150.755,-108.15,180.0,top,C17,,,C_0603_1608Metric,1 uF,smt
153.845,-108.15,0.0,top,C18,,,C_0603_1608Metric,100 nF,smt
157.245,-107.64,180.0,top,C19,,,C_0603_1608Metric,1 uF,smt
161.41,-114.32,0.0,top,C2,,,C_0603_1608Metric,100 nF,smt
161.435,-115.86,0.0,top,C3,,,C_0603_1608Metric,1 uF,smt
162.605,-110.485,90.0,top,C4,,,C_0603_1608Metric,100 nF,smt
161.395,-112.78,180.0,top,C5,,,C_0603_1608Metric,1 uF,smt
162.565,-101.475,-90.0,top,C6,,,C_0603_1608Metric,100 nF,smt
160.945,-101.465,-90.0,top,C7,,,C_0603_1608Metric,1 uF,smt
161.23,-105.93,0.0,top,C8,,,C_0603_1608Metric,100 nF,smt
161.22,-104.32,0.0,top,C9,,,C_0603_1608Metric,1 uF,smt
163.11,-93.8275,90.0,top,D1,,,D_MiniMELF,BZV55B9V1,smt
165.08,-97.08,-90.0,top,D2,,,Nexperia_DSN1608-2_1.6x0.8mm,PTVS5V0Z1USK,smt
160.195,-95.685,180.0,top,FB1,,,R_0603_1608Metric,120 Ohm,smt
153.195509,-112.565518,0.0,top,IC1,MCP3564-E/ST,,SOP65P640X120-20N,MCP3564-E_ST,smt
141.8,-105.08,0.0,top,J1,,,PinHeader_1x08_P2.54mm_Vertical,ADCx,tht
171.04,-124.46,-90.0,top,J2,,,PinHeader_1x05_P2.54mm_Vertical,SPI,tht
171.0,-91.685,0.0,top,J3,,,PinHeader_1x02_P2.54mm_Vertical,VIN,tht
141.8,-97.755,0.0,top,J4,,,PinHeader_1x02_P2.54mm_Vertical,VRef,tht
166.4425,-94.22,0.0,top,Q1,,,SOT-23,AO3401A,smt
146.455,-106.16,-90.0,top,R1,,,R_0603_1608Metric,10,smt
166.345,-91.63,180.0,top,R2,,,R_0603_1608Metric,100k,smt
152.675,-104.3825,180.0,top,U1,,,SOIC-8_3.9x4.9mm_P1.27mm,ADR4525,smt
167.835,-112.01,0.0,top,U3,,,SOT-223-3_TabPin2,MCP1825S,smt
167.805,-104.57,0.0,top,U4,,,SOT-223-3_TabPin2,MCP1825S,smt
159.325,-110.21,180.0,top,Y1,,,Crystal_SMD_3225-4Pin_3.2x2.5mm,JY32254.9152MNBCZ,smt
