Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_Radial_D12.5mm_P5.00mm,1,680 uF,C233101
C2,CP_Radial_D16.0mm_P7.50mm,1,2200uF,C49256808
"C3, C5",0603,2,10uF,C19702
"C4, C6",0603,2,100nF,C14663
F1,Polyfuse_60R300XF,1,60V 3A,C207120
J1,PinHeader_1x02_P2.54mm_Vertical,1,IN,C492401
J2,PinHeader_1x02_P2.54mm_Vertical,1,OUT,C492401
L1,L_12x12mm_H8mm,1,100 uH,C5368704
Q2,STD10P6F6,1,STD10P6F6,C457501
R1,0805,1,1.8k Ohm,C17398
R2,0805,1,1 kOhm,C95781
S1,SSSS811101,1,SSSS811101,C109335
U1,TO-263-5_TabPin3,1,LM2576HVS-ADJ,C18212635
U2,STPS20M100SG-TR,1,STPS20M100SG-TR,C969989
VR1,TRIM_3296W-1-103LF,1,3296W-1-103LF,C49190453
