Designator,Mid X,Mid Y,Rotation,Layer
C1,189.988189,-73.654281,90.0,top
C2,184.477293,-106.490296,180.0,top
C3,194.78377,-87.761769,180.0,top
C4,191.697321,-86.543409,90.0,top
C5,164.360873,-87.480128,90.0,top
C6,169.550125,-84.014894,180.0,top
F1,171.793986,-114.044647,270.0,top
J1,168.905546,-105.347042,0.0,top
J2,174.858443,-82.272355,270.0,top
L1,184.01592,-91.233136,90.0,top
Q2,183.849564,-118.832003,270.0,top
R1,166.946387,-89.181027,0.0,top
R2,194.020125,-90.324464,270.0,top
U1,202.224798,-81.336105,90.0,top
U2,201.73726,-97.325889,270.0,top
VR1,198.475855,-105.737042,0.0,top
