Comment,Designator,Footprint,LCSC,Quantity
1.2MOhm,Rfb2,R_1206_3216Metric,C36337,1
1.5nF,"Ccomp2,Ccomp3",C_0805_2012Metric,C1717,2
10 pF,Cfilt1,C_0805_2012Metric,C107107,1
10 uF,C6,C_Elec_10x10.2,C48970948,1
100 Ohm,RFilt1,R_0805_2012Metric,C17408,1
100 uF,C11,CP_EIA-3216-18_Kemet-A,C122251,1
100nF,Cbyp1,C_0805_2012Metric,C28233,1
100nF,"C2,C4",C_1206_3216Metric,C365814,2
147 kOhm,Rfadj1,R_0805_2012Metric,C47115874,1
150pF,Ccomp1,C_0805_2012Metric,C1716,1
162 kOhm,Rcomp1,R_0805_2012Metric,C47115899,1
33 mOhm,RSense1,R_1210_3225Metric,C723419,1
8.06 kOhm,Rfb1,R_0805_2012Metric,C857074,1
CYH127-330UH,L1,CYH127-330UH,C2929508,1
FQD16N25CTM,Q1,FQD16N25CTM,C415866,1
IN,J1,WJ500V-5.08-2P,C8465,1
LM3478MM,U1,VSSOP-8_3x3mm_P0.65mm,C9404,1
OUT,J2,PinHeader_1x02_P2.54mm_Horizontal,C42163120,1
STTH506B,D1,STTH506BTR,C283501,1
