Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C11,100 uF,CP_EIA-3216-18_Kemet-A,178.6,-103.47,0.0,top
C2,100nF,C_1206_3216Metric,225.335755,-115.0003,0.0,top
C4,100nF,C_1206_3216Metric,222.544427,-107.9103,90.0,top
C6,10 uF,C_Elec_10x10.2,201.934558,-113.1097,-90.0,top
Cbyp1,100nF,C_0805_2012Metric,173.854583,-117.6003,0.0,top
Ccomp1,150pF,C_0805_2012Metric,197.927395,-106.2603,180.0,top
Ccomp2,1.5nF,C_0805_2012Metric,193.104075,-104.4603,90.0,top
Ccomp3,1.5nF,C_0805_2012Metric,190.368528,-103.1103,-90.0,top
Cfilt1,10 pF,C_0805_2012Metric,196.286067,-103.8303,180.0,top
D1,STTH506B,STTH506BTR,215.344141,-115.04,0.0,top
J1,IN,WJ500V-5.08-2P,176.01,-110.17,-90.0,top
J2,OUT,PinHeader_1x02_P2.54mm_Horizontal,236.14,-110.14,0.0,top
L1,CYH127-330UH,CYH127-330UH,188.93,-112.99,0.0,top
Q1,FQD16N25CTM,FQD16N25CTM,214.47,-105.43,-90.0,top
RFilt1,100 Ohm,R_0805_2012Metric,206.478255,-105.5603,90.0,top
RSense1,33 mOhm,R_1210_3225Metric,178.537903,-117.8103,180.0,top
Rcomp1,162 kOhm,R_0805_2012Metric,187.055872,-104.4803,-90.0,top
Rfadj1,147 kOhm,R_0805_2012Metric,184.867434,-104.4803,90.0,top
Rfb1,8.06 kOhm,R_0805_2012Metric,223.074427,-104.1303,0.0,top
Rfb2,1.2MOhm,R_1206_3216Metric,225.315755,-112.3203,0.0,top
U1,LM3478MM,VSSOP-8_3x3mm_P0.65mm,201.83,-103.18,0.0,top
