Designator,Mid X,Mid Y,Rotation,Layer
BR10,223.75,-96.45,90.0,top
BR11,223.5,-83.7,90.0,top
BR12,223.75,-70.65,90.0,top
BR7,223.7,-136.1375,90.0,top
BR8,223.85,-122.75,90.0,top
BR9,224.05,-109.9625,90.0,top
C1,184.755947,-94.323605,90.0,top
C10,162.958099,-80.34048,90.0,top
C11,198.654301,-91.748683,90.0,top
C12,198.654301,-88.326222,90.0,top
C13,196.755567,-87.945948,90.0,top
C14,164.856833,-88.706495,90.0,top
C15,164.467592,-91.357862,180.0,top
C16,194.477086,-87.945948,90.0,top
C17,180.636959,-88.065675,180.0,top
C19,194.287846,-96.081417,0.0,top
C2,194.148352,-122.500558,0.0,top
C23,188.611643,-88.065675,180.0,top
C24,163.757846,-84.464034,270.0,top
C26,190.719871,-98.153878,90.0,top
C3,193.708099,-99.723878,0.0,top
C4,194.148352,-125.162472,0.0,top
C5,197.12582,-100.864698,0.0,top
C59,178.018225,-99.134152,90.0,top
C6,186.995187,-133.812863,90.0,top
C7,197.12582,-98.963331,0.0,top
C79,167.765061,-95.331417,90.0,top
C8,197.885314,-97.061964,0.0,top
C80,158.651137,-144.766964,270.0,top
C9,166.755567,-88.706495,90.0,top
CBYP1,192.788858,-101.755519,0.0,top
CCOMP1,182.155947,-101.755519,180.0,top
CCOMP2,174.980251,-102.176339,90.0,top
CCOMP3,172.4,-104.15,270.0,top
CFILT1,178.358478,-102.135792,180.0,top
D1,184.123478,-122.342745,180.0,top
GND1,190.960124,-148.879972,90.0,top
H1,224.9,-62.5,0.0,top
H2,224.0,-152.3,0.0,top
H3,153.8,-62.5,0.0,top
H4,153.8,-152.2,0.0,top
J3,156.6,-90.55,270.0,top
J6,152.74,-102.85,270.0,top
L1,180.400251,-110.916183,270.0,top
L2,193.561171,-92.247877,0.0,top
N1,232.60049,-147.64662,90.0,bottom
N2,232.60049,-131.84662,90.0,bottom
N3,232.60049,-116.09662,90.0,bottom
N4,232.64125,-68.53582,90.0,bottom
N5,232.65049,-100.34662,90.0,bottom
N6,232.56953,-84.4569,90.0,bottom
Q1,191.941137,-110.856183,0.0,top
Q22,223.6,-87.35,180.0,top
Q23,223.8,-100.05,180.0,top
Q24,223.8125,-74.35,180.0,top
Q25,224.1,-113.7,180.0,top
Q26,176.839491,-70.00337,270.0,top
Q27,175.170757,-78.219113,180.0,top
Q28,164.687592,-67.341456,270.0,top
Q29,163.168605,-72.665284,90.0,top
Q30,174.79101,-82.021847,180.0,top
Q31,184.664428,-79.740206,180.0,top
Q32,168.864808,-66.580909,270.0,top
Q33,177.219238,-74.186378,270.0,top
Q34,184.6,-74.4375,270.0,top
Q35,173.042023,-70.383644,270.0,top
Q36,169.094808,-70.613644,180.0,top
Q37,218.7625,-147.85,180.0,top
Q38,223.9125,-127.05,180.0,top
Q39,223.8125,-141.1,180.0,top
Q8,162.409111,-144.917238,90.0,top
R13,220.8,-83.9,90.0,top
R14,220.8,-87.225,90.0,top
R15,221.0,-70.9,90.0,top
R16,221.0,-74.1,90.0,top
R17,220.6,-96.675,270.0,top
R18,220.6,-100.025,90.0,top
R19,221.05,-110.15,270.0,top
R20,221.05,-113.5,90.0,top
R21,221.0,-122.95,270.0,top
R22,221.0,-127.0,90.0,top
R23,220.9,-136.35,270.0,top
R24,220.9,-140.875,90.0,top
R27,173.59101,-74.636378,90.0,top
R28,180.046706,-73.115284,270.0,top
R29,164.097339,-76.537745,90.0,top
R30,159.920124,-69.692823,90.0,top
R31,178.518225,-81.851027,0.0,top
R32,181.565694,-81.101027,90.0,top
R33,163.708099,-63.978175,0.0,top
R34,181.945441,-71.594191,270.0,top
R35,187.55,-74.95,270.0,top
R36,155.363162,-69.31255,90.0,top
R37,153.084681,-68.932277,90.0,top
R38,214.5,-147.875,90.0,top
R39,163.937592,-118.167823,90.0,top
R40,161.659111,-119.308644,90.0,top
R41,173.051524,-96.035629,90.0,top
R42,170.979124,-96.035629,90.0,top
R43,170.013542,-144.786964,90.0,top
R44,160.519871,-148.589698,90.0,top
R45,158.401137,-148.409425,90.0,top
R46,160.899618,-152.392433,90.0,top
RCOMP1,172.4,-107.65,90.0,top
RFADJ1,196.566327,-103.306613,180.0,top
RFB1,198.085314,-111.672628,0.0,top
RFB2,197.535314,-115.286183,270.0,top
RFBT1,191.439111,-87.945948,90.0,top
RFFB1,190.290377,-83.752394,180.0,top
RFILT1,197.355314,-108.660988,90.0,top
RSENSE1,194.128352,-119.408644,0.0,top
SS8050,166.43658,-144.766964,180.0,top
SW3,178.490057,-148.539592,180.0,top
SW4,167.477399,-150.060686,180.0,top
U1,187.433415,-102.126339,180.0,top
U2,168.966073,-78.001573,90.0,top
U4,197.76647,-94.662243,270.0,top
U5,158.333162,-79.282394,270.0,top
U6,173.264301,-89.528683,0.0,top
U7,165.73,-132.65,90.0,top
VIN1,192.099365,-76.247745,270.0,top
Y3,177.246357,-95.261471,0.0,top
