Comment,Designator,Footprint,LCSC,Quantity
1.2MOhm,Rfb2,R_1206_3216Metric,C36337,1
1.5nF,"Ccomp2,Ccomp3",C_0805_2012Metric,C1717,2
10 pF,Cfilt1,C_0805_2012Metric,C107107,1
10 uF,C6,C_Elec_10x10.2,C48970948,1
100 Ohm,RFilt1,R_0805_2012Metric,C17408,1
100 nF,"C79,C80",C_0805_2012Metric,C49678,2
100k,"R50,R53,R57,R61,R65,R69",R_0603_1608Metric,C25804,6
100nF,"C10,C13,C14,C15,C16,C5,C7,C8",C_0603_1608Metric,C14663,8
100nF,Cbyp1,C_0805_2012Metric,C28233,1
100nF,"C2,C4",C_1206_3216Metric,C365814,2
10k Ohm,"R43,R44",R_0805_2012Metric,C17414,2
10k Ohm,"R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R47,R48,R51,R52,R55,R56,R59,R60,R63,R64,R67,R68,Rffb1",R_0603_1608Metric,C25804,25
10uF,"C3,C9",C_0603_1608Metric,C1691,2
10uF,"C11,C12",C_0603_1608Metric,C92487,2
12 MHz,Y3,Crystal_SMD_3225-4Pin_3.2x2.5mm,C9002,1
12 pF,"C17,C59",C_0805_2012Metric,C1792,2
147 kOhm,Rfadj1,R_0805_2012Metric,C17462,1
15 pF,C19,R_0805_2012Metric,C107110,1
150pF,Ccomp1,C_0805_2012Metric,C1716,1
162 kOhm,Rcomp1,R_0805_2012Metric,C47115899,1
22,"R41,R42",R_0805_2012Metric,C17561,2
22uF,C23,C_0805_2012Metric,C45783,1
30.9 kOhm,Rfbt1,R_0603_1608Metric,C2930090,1
33 mOhm,RSense1,R_1210_3225Metric,C723419,1
33k Ohm,"Br10,Br11,Br12,Br7,Br8,Br9",R_0805_2012Metric,C17633,6
47k Ohm,"R49,R54,R58,R62,R66,R70",R_0603_1608Metric,C25804,6
47uF,"C24,C26",C_1206_3216Metric,C96123,2
5.1k,"R39,R40",R_0805_2012Metric,C27834,2
74HC595,"U2,U5",SOIC-16_3.9x9.9mm_P1.27mm,C10092,2
8.06 kOhm,Rfb1,R_0805_2012Metric,C857074,1
CH340G,U6,SOIC-16_3.9x9.9mm_P1.27mm,C14267,1
CYH127-330UH,L1,CYH127-330UH,C2929508,1
Conn_01x01,"GND1,VIN1,VIN2,VIN3",PinHeader_1x01_P2.54mm_Vertical,C492400,4
EEE-FT1V680AP,C1,EEE1AA101SP,C413520,1
EN,SW3,KH-6X6X5H-STM_SKE,C2837531,1
ESP32-WROOM-32E-R2,U7,ESP32-WROOM-32D,C701343,1
FQD16N25CTM,Q1,FQD16N25CTM,C415866,1
LM3478MM,U1,VSSOP-8_3x3mm_P0.65mm,C9404,1
MMBTA42,"Q26,Q27,Q28,Q29,Q30,Q31,Q32,Q33,Q34,Q35,Q36,Q37",SOT-23,C20069138,12
NPN,SS8050,SOT-23,C916392,1
SDR0403-3R3ML,L2,IND_BOURNS_SDR0403,C139481,1
SS8050,Q8,SOT-23,C916392,1
STTH506B,D1,STTH506BTR,C283501,1
TPS562202,U4,SOT-563,C2877547,1
USB_C_Receptacle_USB2.0,J6,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948,1
CAL,SW4,KH-6X6X5H-STM_SKE,,1
MMBTA92,Q7,SOT-23,,1
IN-16,N5,nixies-us-IN-16,,1
IN-16,N4,nixies-us-IN-16,,1
IN-16,N6,nixies-us-IN-16,,1
IN-16,N1,nixies-us-IN-16,,1
IN-16,N3,nixies-us-IN-16,,1
IN-16,N2,nixies-us-IN-16,,1
MMBTA42,Q12,SOT-23,,1
MMBTA42,Q14,SOT-23,,1
MMBTA92,Q15,SOT-23,,1
MMBTA42,Q16,SOT-23,,1
MMBTA42,Q10,SOT-23,,1
MMBTA92,Q13,SOT-23,,1
MMBTA92,Q19,SOT-23,,1
MMBTA92,Q11,SOT-23,,1
MMBTA42,Q9,SOT-23,,1
MMBTA42,Q18,SOT-23,,1
MMBTA92,Q17,SOT-23,,1
BOOT0,SW5,KH-6X6X5H-STM_SKE,,1
Screw_Terminal_01x02,J1,WJ500V-5.08-2P,,1
