Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
Br10,33k Ohm,R_0805_2012Metric,213.747928,-102.132839,90.0,top
Br11,33k Ohm,R_0805_2012Metric,179.950459,-86.161355,90.0,top
Br12,33k Ohm,R_0805_2012Metric,189.823877,-76.654519,90.0,top
Br7,33k Ohm,R_0805_2012Metric,204.224763,-119.59487,180.0,top
Br8,33k Ohm,R_0805_2012Metric,223.621346,-132.934987,90.0,top
Br9,33k Ohm,R_0805_2012Metric,215.237422,-116.932956,180.0,top
C1,EEE-FT1V680AP,EEE1AA101SP,209.123244,-70.772605,-90.0,top
C10,100nF,C_0603_1608Metric,208.961472,-137.307448,0.0,top
C11,10uF,C_0603_1608Metric,193.021599,-63.164675,-90.0,top
C12,10uF,C_0603_1608Metric,185.037422,-63.914675,180.0,top
C13,100nF,C_0603_1608Metric,185.037422,-62.013308,180.0,top
C14,100nF,C_0603_1608Metric,192.632358,-133.884988,0.0,top
C15,100nF,C_0603_1608Metric,211.629194,-136.557448,90.0,top
C16,100nF,C_0603_1608Metric,182.768434,-66.967409,90.0,top
C17,12 pF,C_0805_2012Metric,178.841219,-130.253073,90.0,top
C19,15 pF,R_0805_2012Metric,187.925143,-62.584402,-90.0,top
C2,100nF,C_1206_3216Metric,210.920713,-92.77573,0.0,top
C23,22uF,C_0805_2012Metric,193.271599,-66.747409,90.0,top
C24,47uF,C_1206_3216Metric,193.452358,-131.56362,0.0,top
C26,47uF,C_1206_3216Metric,198.00932,-68.057956,180.0,top
C3,10uF,C_0603_1608Metric,191.113371,-60.492214,0.0,top
C4,100nF,C_1206_3216Metric,205.973244,-85.541355,90.0,top
C5,100nF,C_0603_1608Metric,198.708308,-70.379323,180.0,top
C59,12 pF,C_0805_2012Metric,178.081725,-126.450339,-90.0,top
C6,10 uF,C_Elec_10x10.2,203.767548,-104.468308,-90.0,top
C7,100nF,C_0603_1608Metric,199.477295,-65.066042,90.0,top
C79,100 nF,C_0805_2012Metric,192.472611,-127.170339,180.0,top
C8,100nF,C_0603_1608Metric,197.578561,-65.066042,90.0,top
C80,100 nF,C_0805_2012Metric,157.955143,-144.703464,-90.0,top
C9,10uF,C_0603_1608Metric,160.733624,-143.772097,0.0,top
Cbyp1,100nF,C_0805_2012Metric,201.626029,-64.846042,90.0,top
Ccomp1,150pF,C_0805_2012Metric,198.548561,-72.410964,180.0,top
Ccomp2,1.5nF,C_0805_2012Metric,205.043751,-62.564402,90.0,top
Ccomp3,1.5nF,C_0805_2012Metric,178.042232,-70.88987,0.0,top
Cfilt1,10 pF,C_0805_2012Metric,194.751092,-72.410964,180.0,top
D1,STTH506B,STTH506BTR,200.780839,-92.617917,180.0,top
GND1,Conn_01x01,PinHeader_1x01_P2.54mm_Vertical,170.65,-67.07,90.0,top
H1,Mount,MountingHole_3mm_Pad_TopOnly,224.9,-62.5,0.0,top
H2,Mount,MountingHole_3mm_Pad_TopOnly,224.0,-152.3,0.0,top
H3,Mount,MountingHole_3mm_Pad_TopOnly,153.8,-62.5,0.0,top
H4,Mount,MountingHole_3mm_Pad_TopOnly,153.8,-152.2,0.0,top
J1,Screw_Terminal_01x02,WJ500V-5.08-2P,155.895,-91.815,-90.0,top
J6,USB_C_Receptacle_USB2.0,USB_C_Receptacle_HRO_TYPE-C-31-M-12,154.2,-102.85,90.0,top
L1,CYH127-330UH,CYH127-330UH,197.932105,-80.430808,-90.0,top
L2,SDR0403-3R3ML,IND_BOURNS_SDR0403,189.477043,-67.498297,90.0,top
N1,IN-16,nixies-us-IN-16,232.60049,-147.64662,90.0,bottom
N2,IN-16,nixies-us-IN-16,232.60049,-131.84662,90.0,bottom
N3,IN-16,nixies-us-IN-16,232.60049,-116.09662,90.0,bottom
N4,IN-16,nixies-us-IN-16,232.64125,-68.53582,90.0,bottom
N5,IN-16,nixies-us-IN-16,232.65049,-100.34662,90.0,bottom
N6,IN-16,nixies-us-IN-16,232.56953,-84.4569,90.0,bottom
Q1,FQD16N25CTM,FQD16N25CTM,216.6397,-85.092448,90.0,top
Q10,MMBTA42,SOT-23,220.573877,-126.220339,180.0,top
Q11,MMBTA92,SOT-23,218.675143,-129.6428,0.0,top
Q12,MMBTA42,SOT-23,210.700459,-114.051589,0.0,top
Q13,MMBTA92,SOT-23,214.727928,-113.901316,270.0,top
Q14,MMBTA42,SOT-23,218.295396,-108.727761,0.0,top
Q15,MMBTA92,SOT-23,216.776409,-103.023659,0.0,top
Q16,MMBTA42,SOT-23,174.62451,-86.671902,0.0,top
Q17,MMBTA92,SOT-23,178.801725,-76.024245,0.0,top
Q18,MMBTA42,SOT-23,186.246915,-79.676706,90.0,top
Q19,MMBTA92,SOT-23,186.626662,-75.873972,270.0,top
Q26,MMBTA42,SOT-23,218.295396,-136.107448,0.0,top
Q27,MMBTA42,SOT-23,201.206789,-148.656472,180.0,top
Q28,MMBTA42,SOT-23,221.183624,-144.323191,270.0,top
Q29,MMBTA42,SOT-23,208.042232,-150.557839,0.0,top
Q30,MMBTA42,SOT-23,212.0697,-152.308933,270.0,top
Q31,MMBTA42,SOT-23,193.991599,-152.078933,0.0,top
Q32,MMBTA42,SOT-23,216.246915,-152.308933,270.0,top
Q33,MMBTA42,SOT-23,215.637168,-148.276198,180.0,top
Q34,MMBTA42,SOT-23,215.487422,-125.689792,270.0,top
Q35,MMBTA42,SOT-23,208.272232,-132.914988,90.0,top
Q36,MMBTA42,SOT-23,214.497928,-133.825808,0.0,top
Q37,MMBTA42,SOT-23,215.867168,-91.465183,270.0,top
Q7,MMBTA92,SOT-23,199.308054,-121.657058,180.0,top
Q8,SS8050,SOT-23,179.791219,-152.308933,270.0,top
Q9,MMBTA42,SOT-23,201.966282,-124.318972,0.0,top
R27,10k Ohm,R_0603_1608Metric,220.733624,-139.208816,0.0,top
R28,10k Ohm,R_0603_1608Metric,202.895016,-151.768386,90.0,top
R29,10k Ohm,R_0603_1608Metric,220.733624,-141.110183,0.0,top
R30,10k Ohm,R_0603_1608Metric,207.442485,-147.194558,0.0,top
R31,10k Ohm,R_0603_1608Metric,211.999447,-149.095925,0.0,top
R32,10k Ohm,R_0603_1608Metric,191.122865,-153.28948,90.0,top
R33,10k Ohm,R_0603_1608Metric,219.22413,-151.768386,90.0,top
R34,10k Ohm,R_0603_1608Metric,219.97413,-147.194558,0.0,top
R35,10k Ohm,R_0603_1608Metric,212.388687,-125.529519,90.0,top
R36,10k Ohm,R_0603_1608Metric,202.505776,-133.504714,0.0,top
R37,10k Ohm,R_0603_1608Metric,214.277928,-137.307448,0.0,top
R38,10k Ohm,R_0603_1608Metric,211.999447,-90.533816,0.0,top
R39,5.1k,R_0805_2012Metric,165.140333,-109.738308,90.0,top
R40,5.1k,R_0805_2012Metric,160.933624,-114.271042,0.0,top
R41,22,R_0805_2012Metric,185.90625,-124.93641,-90.0,top
R42,22,R_0805_2012Metric,188.21265,-124.93641,-90.0,top
R43,10k Ohm,R_0805_2012Metric,184.098181,-152.678659,0.0,top
R44,10k Ohm,R_0805_2012Metric,186.026409,-146.244558,90.0,top
R47,10k Ohm,R_0603_1608Metric,171.746282,-106.885573,0.0,top
R48,10k Ohm,R_0603_1608Metric,173.26527,-111.829128,180.0,top
R49,47k Ohm,R_0603_1608Metric,200.607042,-118.67405,0.0,top
R50,100k,R_0603_1608Metric,196.43932,-119.445144,90.0,top
R51,10k Ohm,R_0603_1608Metric,207.831725,-126.290066,-90.0,top
R52,10k Ohm,R_0603_1608Metric,204.024763,-127.420339,0.0,top
R53,100k,R_0603_1608Metric,222.252611,-129.70198,180.0,top
R54,47k Ohm,R_0603_1608Metric,221.502611,-132.374441,90.0,top
R55,10k Ohm,R_0603_1608Metric,175.164004,-119.054323,0.0,top
R56,10k Ohm,R_0603_1608Metric,178.581725,-118.293777,180.0,top
R57,100k,R_0603_1608Metric,211.6197,-117.152956,0.0,top
R58,47k Ohm,R_0603_1608Metric,207.831725,-113.741042,90.0,top
R59,10k Ohm,R_0603_1608Metric,163.771599,-116.392409,0.0,top
R60,10k Ohm,R_0603_1608Metric,164.540586,-119.06487,90.0,top
R61,100k,R_0603_1608Metric,212.768434,-106.515847,90.0,top
R62,47k Ohm,R_0603_1608Metric,215.417168,-106.5053,0.0,top
R63,10k Ohm,R_0603_1608Metric,172.51527,-102.332839,90.0,top
R64,10k Ohm,R_0603_1608Metric,174.414004,-100.811745,-90.0,top
R65,100k,R_0603_1608Metric,175.932991,-80.657253,90.0,top
R66,47k Ohm,R_0603_1608Metric,174.034257,-81.4178,-90.0,top
R67,10k Ohm,R_0603_1608Metric,219.231266,-70.170547,90.0,top
R68,10k Ohm,R_0603_1608Metric,221.88,-70.16,180.0,top
R69,100k,R_0603_1608Metric,186.556409,-84.449441,0.0,top
R70,47k Ohm,R_0603_1608Metric,185.417168,-82.548073,0.0,top
RFilt1,100 Ohm,R_0805_2012Metric,215.237422,-77.764792,0.0,top
RSense1,33 mOhm,R_1210_3225Metric,218.875396,-74.853152,180.0,top
