pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
213.747928,-102.132839,90.0,top,Br10,,,R_0805_2012Metric,33k Ohm,smt
179.950459,-86.161355,90.0,top,Br11,,,R_0805_2012Metric,33k Ohm,smt
189.823877,-76.654519,90.0,top,Br12,,,R_0805_2012Metric,33k Ohm,smt
204.224763,-119.59487,180.0,top,Br7,,,R_0805_2012Metric,33k Ohm,smt
223.621346,-132.934987,90.0,top,Br8,,,R_0805_2012Metric,33k Ohm,smt
215.237422,-116.932956,180.0,top,Br9,,,R_0805_2012Metric,33k Ohm,smt
209.123244,-70.772605,-90.0,top,C1,EEE-FT1V680AP,,EEE1AA101SP,EEE-FT1V680AP,smt
208.961472,-137.307448,0.0,top,C10,,,C_0603_1608Metric,100nF,smt
193.021599,-63.164675,-90.0,top,C11,,,C_0603_1608Metric,10uF,smt
185.037422,-63.914675,180.0,top,C12,,,C_0603_1608Metric,10uF,smt
185.037422,-62.013308,180.0,top,C13,,,C_0603_1608Metric,100nF,smt
192.632358,-133.884988,0.0,top,C14,,,C_0603_1608Metric,100nF,smt
211.629194,-136.557448,90.0,top,C15,,,C_0603_1608Metric,100nF,smt
182.768434,-66.967409,90.0,top,C16,,,C_0603_1608Metric,100nF,smt
178.841219,-130.253073,90.0,top,C17,,,C_0805_2012Metric,12 pF,smt
187.925143,-62.584402,-90.0,top,C19,,,R_0805_2012Metric,15 pF,smt
210.920713,-92.77573,0.0,top,C2,,,C_1206_3216Metric,100nF,smt
193.271599,-66.747409,90.0,top,C23,,,C_0805_2012Metric,22uF,smt
193.452358,-131.56362,0.0,top,C24,,,C_1206_3216Metric,47uF,smt
198.00932,-68.057956,180.0,top,C26,,,C_1206_3216Metric,47uF,smt
191.113371,-60.492214,0.0,top,C3,,,C_0603_1608Metric,10uF,smt
205.973244,-85.541355,90.0,top,C4,,,C_1206_3216Metric,100nF,smt
198.708308,-70.379323,180.0,top,C5,,,C_0603_1608Metric,100nF,smt
178.081725,-126.450339,-90.0,top,C59,,,C_0805_2012Metric,12 pF,smt
203.767548,-104.468308,-90.0,top,C6,,,C_Elec_10x10.2,10 uF,smt
199.477295,-65.066042,90.0,top,C7,,,C_0603_1608Metric,100nF,smt
192.472611,-127.170339,180.0,top,C79,,,C_0805_2012Metric,100 nF,smt
197.578561,-65.066042,90.0,top,C8,,,C_0603_1608Metric,100nF,smt
157.955143,-144.703464,-90.0,top,C80,,,C_0805_2012Metric,100 nF,smt
160.733624,-143.772097,0.0,top,C9,,,C_0603_1608Metric,10uF,smt
201.626029,-64.846042,90.0,top,Cbyp1,,,C_0805_2012Metric,100nF,smt
198.548561,-72.410964,180.0,top,Ccomp1,,,C_0805_2012Metric,150pF,smt
205.043751,-62.564402,90.0,top,Ccomp2,,,C_0805_2012Metric,1.5nF,smt
178.042232,-70.88987,0.0,top,Ccomp3,,,C_0805_2012Metric,1.5nF,smt
194.751092,-72.410964,180.0,top,Cfilt1,,,C_0805_2012Metric,10 pF,smt
200.895839,-92.617917,180.0,top,D1,STTH506B-TR,,STTH506BTR,STTH506B,smt
170.65,-67.07,90.0,top,GND1,,,PinHeader_1x01_P2.54mm_Vertical,Conn_01x01,tht
224.9,-62.5,0.0,top,H1,,,MountingHole_3mm_Pad_TopOnly,Mount,tht
224.0,-152.3,0.0,top,H2,,,MountingHole_3mm_Pad_TopOnly,Mount,tht
