Designator,Footprint,Quantity,Value,LCSC Part #
"BR2, BR3, BR4, BR5, BR6, BR7",0805,6,33k Ohm,C2933415
C1,EEE1AA101SP,1,EEE-FT1V680AP,C413520
"C10, C13, C14, C15, C16, C5, C7, C8",0603,8,100nF,C14663
"C11, C12, C3, C9",0603,4,10uF,C1691
C19,0805,1,15 pF,C1804
"C2, C4",1206,2,100nF,C365814
C23,0805,1,22uF,C441864
"C24, C26",1206,2,47uF,C96123
C6,C_Elec_10x10.2,1,10 uF,C48970948
CBYP1,0805,1,100nF,C784084
CCOMP1,0805,1,150pF,C2168780
"CCOMP2, CCOMP3",0805,2,1.5nF,C1717
CFILT1,0805,1,10 pF,C107107
D1,STTH506BTR,1,STTH506B,C283501
"GND1, VIN1",PinHeader_1x01_P2.54mm_Vertical,2,Conn_01x01,C492400
J2,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0,C165948
J3,BarrelJack_CUI_PJ-063AH_Horizontal,1,Barrel_Jack_MountingPin,C22434582
L1,CYH127-330UH,1,CYH127-330UH,C2929508
L2,IND_BOURNS_SDR0403,1,SDR0403-3R3ML,C139481
"N1, N2, N3, N4, N5, N6",nixies-us-IN-16,6,IN-16,
Q1,FQD16N25CTM,1,FQD16N25CTM,C415866
"Q10, Q11, Q2, Q3, Q4, Q5, Q6, Q7, Q8, Q9",SOT-23,10,MMBTA06,C20069139
"R1, R2, R21, R3, R4",0805,5,10k,C17414
"R10, R9",0603,2,5.1k,C23186
"R11, R12",0603,2,22,C23345
"R17, R18, R19, R20, R22",0603,5,4.7k,C99782
"R25, R26, R27, R28, R29, R30, R31, R32, R33, R34, R35, R36, RFFB1",0603,13,10k Ohm,C2930027
RCOMP1,0805,1,162 kOhm,C47115899
RFADJ1,0805,1,147 kOhm,C47115874
RFB1,0805,1,8.06 kOhm,C857074
RFB2,1206,1,1.2MOhm,C36337
RFBT1,0603,1,30.9 kOhm,C2930090
RFILT1,0805,1,100 Ohm,C17408
RSENSE1,1210,1,33 mOhm,C723419
S1,SSSS811101,1,SSSS811101,C109335
"SW1, SW2",KH-6X6X5H-STM_SKE,2,EN,C2837531 
U1,VSSOP-8_3x3mm_P0.65mm,1,LM3478MM,C9404
U3,ESP32-S2-MINI-1U,1,ESP32-S3-MINI-1U,C2980299
U4,SOT-563,1,TPS562202,C2877547
"U6, U7",PQFP-44_10x10mm_P0.8mm,2,HV5622PG,C220637
