Designator,Mid X,Mid Y,Rotation,Layer
BR2,231.912276,-124.632472,90.0,top
BR3,229.633795,-123.871925,90.0,top
BR4,222.418605,-74.056105,90.0,top
BR5,233.022023,-107.869894,0.0,top
BR6,231.123289,-90.377316,0.0,top
BR7,233.81101,-138.322316,90.0,top
C1,168.267339,-99.576339,180.0,top
C10,178.138478,-147.258058,0.0,top
C11,168.654301,-107.339894,90.0,top
C12,166.755567,-107.339894,90.0,top
C13,164.856833,-105.8188,90.0,top
C14,178.138478,-145.356691,0.0,top
C15,176.619491,-143.455323,0.0,top
C16,175.859997,-111.132081,0.0,top
C19,173.051516,-106.379347,90.0,top
C2,186.542656,-130.47712,90.0,top
C23,172.282529,-115.445363,0.0,top
C24,176.289491,-151.011886,270.0,top
C26,210.086959,-111.843722,90.0,top
C3,212.325187,-92.128956,270.0,top
C4,187.302149,-124.392745,90.0,top
C5,210.796706,-115.695363,0.0,top
C6,191.552149,-143.319698,90.0,top
C7,210.796706,-117.59673,0.0,top
C8,212.704934,-129.395753,270.0,top
C9,175.489744,-146.888331,90.0,top
CBYP1,206.499238,-113.204269,90.0,top
CCOMP1,204.56101,-120.008644,0.0,top
CCOMP2,198.524554,-110.162081,90.0,top
CCOMP3,194.347339,-87.345675,270.0,top
CFILT1,200.803035,-110.162081,90.0,top
D1,195.285884,-131.469308,0.0,top
GND1,195.517086,-97.923331,270.0,top
H1,224.9,-62.5,0.0,top
H2,224.0,-152.3,0.0,top
H3,153.8,-62.5,0.0,top
H4,153.8,-152.2,0.0,top
J2,152.7,-118.01,270.0,top
J3,155.0,-101.9,270.0,top
L1,195.210377,-118.901925,270.0,top
L2,176.881897,-105.969414,90.0,top
N1,232.60049,-147.64662,90.0,bottom
N2,232.60049,-131.84662,90.0,bottom
N3,232.60049,-116.09662,90.0,bottom
N4,232.64125,-68.53582,90.0,bottom
N5,232.65049,-100.34662,90.0,bottom
N6,232.56953,-84.4569,90.0,bottom
Q1,207.510757,-128.008214,180.0,top
Q10,170.234048,-85.444308,0.0,top
Q11,166.966073,-83.312941,90.0,top
Q2,196.966073,-75.327198,270.0,top
Q3,152.535694,-126.283839,270.0,top
Q4,200.993542,-80.500753,0.0,top
Q5,182.385947,-109.401534,0.0,top
Q6,201.373289,-65.289816,0.0,top
Q7,156.333162,-126.664113,270.0,top
Q8,200.993542,-76.698019,0.0,top
Q9,182.765694,-113.204269,180.0,top
R1,165.076833,-61.887355,90.0,top
R10,167.894808,-123.311378,90.0,top
R11,161.039443,-130.815275,0.0,top
R12,161.039443,-132.447675,0.0,top
R17,201.312529,-71.974464,90.0,top
R18,159.151137,-124.821925,0.0,top
R19,197.894808,-80.720753,90.0,top
R2,200.363795,-88.095675,0.0,top
R20,183.454934,-116.075636,0.0,top
R21,180.616959,-86.194308,0.0,top
R22,164.856833,-86.424855,90.0,top
R25,188.780884,-110.382081,90.0,top
R26,154.594175,-148.018605,180.0,top
R27,206.628985,-71.594191,90.0,top
R28,198.644808,-84.132667,0.0,top
R29,178.897972,-114.554542,0.0,top
R3,209.507213,-140.223683,90.0,top
R30,152.695441,-129.385206,0.0,top
R31,167.135314,-87.185402,90.0,top
R32,198.654301,-70.45337,90.0,top
R33,204.720757,-79.569386,0.0,top
R34,179.666959,-111.903175,90.0,top
R35,171.303035,-82.611573,0.0,top
R36,156.113162,-129.76548,0.0,top
R4,173.051516,-110.562355,270.0,top
R9,170.543542,-124.061378,0.0,top
RCOMP1,154.414428,-90.757589,0.0,top
RFADJ1,208.338478,-120.038644,0.0,top
RFB1,187.481896,-120.069191,90.0,top
RFB2,184.623922,-124.793019,90.0,top
RFBT1,172.062529,-113.413722,0.0,top
RFFB1,175.480251,-113.413722,0.0,top
RFILT1,206.469238,-109.421534,90.0,top
RSENSE1,203.681516,-112.624269,90.0,top
S1,166.747086,-114.31755,270.0,top
SW1,154.086894,-140.076844,270.0,top
SW2,169.151439,-129.145647,0.0,top
U1,205.661263,-116.957003,180.0,top
U3,166.102,-142.4,180.0,top
U4,170.953035,-107.59154,90.0,top
U6,220.743922,-122.484933,180.0,top
U7,220.743922,-90.161691,180.0,top
VIN1,226.27658,-108.190714,0.0,top
