Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,220nF,C_0603_1608Metric,234.66,-113.64,-90.0,top
C2,2.2uF,C_0603_1608Metric,235.05,-106.87,90.0,top
C3,220nF,C_0603_1608Metric,223.46,-110.93,90.0,top
J1,AC,WJ500V-5.08-2P,195.87,-109.99,-90.0,top
J2,DC,WJ500V-5.08-2P,261.8,-110.04,90.0,top
L1,PDMCAT18107-102ML,C2831472_IND-SMD_4P-L22_0-W12_0-P8_00-S9_00,208.725,-109.99,-90.0,top
R1,10k,R_0603_1608Metric,235.465,-111.36,0.0,top
R2,10k,R_0603_1608Metric,235.46,-109.83,0.0,top
R3,10k,R_0603_1608Metric,225.31,-105.615,90.0,top
R4,10k,R_0603_1608Metric,237.575,-115.06,0.0,top
U1,TEA2208T/1J,C1513000_SO-14_L8_7-W3_9-P1_27-LS6_0-BL,230.04,-110.2325,90.0,top
U2,BCW65N45M1,C47715867_TO-247-3_L15_8-W5_0-P5_44-L_IXFH16N80P,223.04,-101.718,0.0,top
U3,BCW65N45M1,C47715867_TO-247-3_L15_8-W5_0-P5_44-L_IXFH16N80P,223.1,-118.29,180.0,top
U4,BCW65N45M1,C47715867_TO-247-3_L15_8-W5_0-P5_44-L_IXFH16N80P,240.0,-101.77,0.0,top
U5,BCW65N45M1,C47715867_TO-247-3_L15_8-W5_0-P5_44-L_IXFH16N80P,240.08,-118.768,0.0,top
