Comment,Designator,Footprint,LCSC,Quantity
1 Ohm,"R1,R2",R_0603_1608Metric,C22936,2
1 mOhm,R9,R_0805_2012Metric,C6351850,1
1 uF,"C13,C14,C7,C8",C_0805_2012Metric,C28323,4
10 uH,L1,L_6.3x6.3_H3,C2041827,1
10.9 kOhm,R6,R_0603_1608Metric,C25950,1
100 nF,"C1,C10,C11,C15,C16,C17,C2,C9",C_0603_1608Metric,C14663,8
1000 uF,"C12,C6",CP_Radial_D12.5mm_P5.00mm,C88743,2
100k Ohm,"R4,R7",R_0603_1608Metric,C14675,2
15 pF,C5,C_0603_1608Metric,C1644,1
18 nF,C4,C_0603_1608Metric,C1695,1
1k,R8,R_0603_1608Metric,C21190,1
21k Ohm,R5,R_0603_1608Metric,C22956,1
301k Ohm,R3,R_0603_1608Metric,C23026,1
3296W-1-103LF,VR1,TRIM_3296W-1-103LF,C49190453,1
4.7 uF,C3,C_0603_1608Metric,C841052,1
AMS1117-3.3,U2,SOT-223-3_TabPin2,C6186,1
CSD17577Q5A,"Q3,Q4",TDSON-8-1,C475504,2
IN,J2,WJ500V-5.08-2P,C8465,1
OUT,J3,WJ500V-5.08-2P,C8465,1
SSSS811101,S1,SSSS811101,C109335,1
TPS55288RPMR,U1,IC_TPS55288RPMR,C2864583,1
I2C,J1,PinHeader_1x02_P2.54mm_Vertical,,1
