Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100 nF,C_0603_1608Metric,182.901825,-105.331707,0.0,top
C10,100 nF,C_0603_1608Metric,179.806903,-117.177521,-90.0,top
C11,100 nF,C_0603_1608Metric,171.834169,-117.177521,-90.0,top
C12,1000 uF,CP_Radial_D12.5mm_P5.00mm,222.38968,-112.015399,90.0,top
C13,1 uF,C_0805_2012Metric,217.123192,-125.374963,0.0,top
C14,1 uF,C_0805_2012Metric,217.123192,-127.707521,0.0,top
C15,100 nF,C_0603_1608Metric,217.372177,-121.659614,0.0,top
C16,100 nF,C_0603_1608Metric,217.372177,-120.026823,0.0,top
C17,100 nF,C_0603_1608Metric,217.372177,-123.292405,0.0,top
C2,100 nF,C_0603_1608Metric,181.26038,-106.964498,0.0,top
C3,4.7 uF,C_0603_1608Metric,188.76413,-113.49566,180.0,top
C4,18 nF,C_0603_1608Metric,191.812528,-106.731242,0.0,top
C5,15 pF,C_0603_1608Metric,184.308778,-115.594963,180.0,top
C6,1000 uF,CP_Radial_D12.5mm_P5.00mm,188.062711,-122.656529,0.0,top
C7,1 uF,C_0805_2012Metric,176.070536,-116.957521,-90.0,top
C8,1 uF,C_0805_2012Metric,173.725614,-116.957521,-90.0,top
C9,100 nF,C_0603_1608Metric,178.165458,-117.177521,-90.0,top
J1,I2C,PinHeader_1x02_P2.54mm_Vertical,211.193934,-125.984498,90.0,top
J2,IN,WJ500V-5.08-2P,176.01,-124.46,-90.0,top
J3,OUT,WJ500V-5.08-2P,224.09,-124.32,90.0,top
L1,10 uH,L_6.3x6.3_H3,195.608466,-113.507986,90.0,top
Q3,CSD17577Q5A,TDSON-8-1,211.968427,-121.192405,270.0,top
Q4,CSD17577Q5A,TDSON-8-1,199.728309,-123.707986,180.0,top
R1,1 Ohm,R_0603_1608Metric,188.717606,-107.847288,90.0,top
R2,1 Ohm,R_0603_1608Metric,203.725106,-121.609381,90.0,top
R3,301k Ohm,R_0603_1608Metric,183.136317,-103.698916,0.0,top
R4,100k Ohm,R_0603_1608Metric,180.979364,-110.413102,90.0,top
R5,21k Ohm,R_0603_1608Metric,174.413583,-102.249149,90.0,top
R6,10.9 kOhm,R_0603_1608Metric,199.316278,-128.424033,0.0,top
R7,100k Ohm,R_0603_1608Metric,179.52,-101.66,180.0,top
R8,1k,R_0603_1608Metric,172.54,-102.27,90.0,top
R9,1 mOhm,R_0805_2012Metric,178.39995,-111.812637,-90.0,top
S1,SSSS811101,SSSS811101,207.982214,-105.070808,0.0,top
U1,TPS55288RPMR,IC_TPS55288RPMR,184.794286,-112.242172,-90.0,top
U2,AMS1117-3.3,SOT-223-3_TabPin2,203.643231,-116.1838,0.0,top
VR1,3296W-1-103LF,TRIM_3296W-1-103LF,173.03,-109.82,90.0,top
